jatos_id,prolific_id,gamenum,itemnum,items,times,firsttime,category,starttime,shortlist,condition,rt
449,61079a83c6af47f112977a97,1,1,cat,1684180928679,1684180927624,Animals,1684180925571,0,Immediate,3.108
449,61079a83c6af47f112977a97,1,2,dog,1684180930159,1684180928949,Animals,1684180925571,0,Immediate,1.48
449,61079a83c6af47f112977a97,1,3,elephant,1684180932422,1684180930413,Animals,1684180925571,0,Immediate,2.263
449,61079a83c6af47f112977a97,1,4,lion,1684180933671,1684180932621,Animals,1684180925571,0,Immediate,1.249
449,61079a83c6af47f112977a97,1,5,tiger,1684180935196,1684180933908,Animals,1684180925571,0,Immediate,1.525
449,61079a83c6af47f112977a97,1,6,giraffe,1684180937289,1684180936012,Animals,1684180925571,0,Immediate,2.093
449,61079a83c6af47f112977a97,1,7,jaguar,1684180939599,1684180937529,Animals,1684180925571,0,Immediate,2.31
449,61079a83c6af47f112977a97,1,8,shark,1684180944322,1684180939863,Animals,1684180925571,0,Immediate,4.723
449,61079a83c6af47f112977a97,1,9,dolphin,1684180947023,1684180944625,Animals,1684180925571,0,Immediate,2.701
449,61079a83c6af47f112977a97,1,10,stingray,1684180949404,1684180947630,Animals,1684180925571,0,Immediate,2.381
449,61079a83c6af47f112977a97,1,11,rabbit,1684180952910,1684180951442,Animals,1684180925571,0,Immediate,3.506
449,61079a83c6af47f112977a97,1,12,rat,1684180954950,1684180953289,Animals,1684180925571,0,Immediate,2.04
449,61079a83c6af47f112977a97,1,13,raccoon,1684180958819,1684180955568,Animals,1684180925571,0,Immediate,3.869
449,61079a83c6af47f112977a97,1,14,badger,1684180963980,1684180962455,Animals,1684180925571,0,Immediate,5.161
449,61079a83c6af47f112977a97,1,15,beaver,1684180966133,1684180964327,Animals,1684180925571,0,Immediate,2.153
449,61079a83c6af47f112977a97,1,16,gerbil,1684180967636,1684180966350,Animals,1684180925571,0,Immediate,1.503
449,61079a83c6af47f112977a97,1,17,snake,1684180969350,1684180968407,Animals,1684180925571,0,Immediate,1.714
449,61079a83c6af47f112977a97,1,18,parrot,1684180975929,1684180974459,Animals,1684180925571,0,Immediate,6.579
449,61079a83c6af47f112977a97,1,19,crow,1684180978635,1684180976875,Animals,1684180925571,0,Immediate,2.706
449,61079a83c6af47f112977a97,1,20,clownfish,1684180985457,1684180983681,Animals,1684180925571,0,Immediate,6.822
449,61079a83c6af47f112977a97,1,21,panther,1684180991487,1684180990187,Animals,1684180925571,0,Immediate,6.03
449,61079a83c6af47f112977a97,1,22,cardinal,1684180994162,1684180992131,Animals,1684180925571,0,Immediate,2.675
449,61079a83c6af47f112977a97,1,23,sloth,1684180999472,1684180998374,Animals,1684180925571,0,Immediate,5.31
449,61079a83c6af47f112977a97,1,24,lemur,1684181006447,1684181005268,Animals,1684180925571,0,Immediate,6.975
449,61079a83c6af47f112977a97,1,25,monkey,1684181007892,1684181006635,Animals,1684180925571,0,Immediate,1.445
449,61079a83c6af47f112977a97,1,26,gorilla,1684181009375,1684181008044,Animals,1684180925571,0,Immediate,1.483
449,61079a83c6af47f112977a97,1,27,lizard,1684181012270,1684181010245,Animals,1684180925571,0,Immediate,2.895
449,61079a83c6af47f112977a97,1,28,iguana,1684181013708,1684181012425,Animals,1684180925571,0,Immediate,1.438
449,61079a83c6af47f112977a97,2,1,cat,1684181085954,1684181085198,Animals,1684181083277,0,Immediate,2.677
449,61079a83c6af47f112977a97,2,2,dog,1684181087146,1684181086162,Animals,1684181083277,0,Immediate,1.192
449,61079a83c6af47f112977a97,2,3,rabbit,1684181089105,1684181087398,Animals,1684181083277,0,Immediate,1.959
449,61079a83c6af47f112977a97,2,4,sloth,1684181092913,1684181089868,Animals,1684181083277,0,Immediate,3.808
449,61079a83c6af47f112977a97,2,5,rat,1684181096900,1684181096085,Animals,1684181083277,0,Immediate,3.987
449,61079a83c6af47f112977a97,2,6,raccoon,1684181098611,1684181097044,Animals,1684181083277,0,Immediate,1.711
449,61079a83c6af47f112977a97,2,7,giraffe,1684181100655,1684181099456,Animals,1684181083277,0,Immediate,2.044
449,61079a83c6af47f112977a97,2,8,elephant,1684181102548,1684181100812,Animals,1684181083277,0,Immediate,1.893
449,61079a83c6af47f112977a97,2,9,crow,1684181106743,1684181103514,Animals,1684181083277,0,Immediate,4.195
449,61079a83c6af47f112977a97,2,10,parrot,1684181109144,1684181107011,Animals,1684181083277,0,Immediate,2.401
449,61079a83c6af47f112977a97,2,11,mockingbird,1684181113273,1684181111163,Animals,1684181083277,0,Immediate,4.129
449,61079a83c6af47f112977a97,2,12,hummingbird,1684181117423,1684181113504,Animals,1684181083277,0,Immediate,4.15
449,61079a83c6af47f112977a97,2,13,dragonfly,1684181119748,1684181117695,Animals,1684181083277,0,Immediate,2.325
449,61079a83c6af47f112977a97,2,14,lizard,1684181121263,1684181119976,Animals,1684181083277,0,Immediate,1.515
449,61079a83c6af47f112977a97,2,15,iguana,1684181122704,1684181121444,Animals,1684181083277,0,Immediate,1.441
449,61079a83c6af47f112977a97,2,16,shark,1684181128556,1684181127346,Animals,1684181083277,0,Immediate,5.852
449,61079a83c6af47f112977a97,2,17,dolphin,1684181130632,1684181128714,Animals,1684181083277,0,Immediate,2.076
449,61079a83c6af47f112977a97,2,18,seal,1684181133960,1684181130810,Animals,1684181083277,0,Immediate,3.328
449,61079a83c6af47f112977a97,2,19,whale,1684181135726,1684181134480,Animals,1684181083277,0,Immediate,1.766
449,61079a83c6af47f112977a97,2,20,lion,1684181138174,1684181137139,Animals,1684181083277,0,Immediate,2.448
449,61079a83c6af47f112977a97,2,21,jaguar,1684181139716,1684181138395,Animals,1684181083277,0,Immediate,1.542
449,61079a83c6af47f112977a97,2,22,panther,1684181141664,1684181140048,Animals,1684181083277,0,Immediate,1.948
449,61079a83c6af47f112977a97,2,23,cheetah,1684181144313,1684181143121,Animals,1684181083277,0,Immediate,2.649
449,61079a83c6af47f112977a97,2,24,cobra,1684181151146,1684181149214,Animals,1684181083277,0,Immediate,6.833
449,61079a83c6af47f112977a97,2,25,rattlesnake,1684181153275,1684181151333,Animals,1684181083277,0,Immediate,2.129
449,61079a83c6af47f112977a97,2,26,butterfly,1684181156792,1684181154929,Animals,1684181083277,0,Immediate,3.517
449,61079a83c6af47f112977a97,2,27,caterpillar,1684181161166,1684181157057,Animals,1684181083277,0,Immediate,4.374
449,61079a83c6af47f112977a97,2,28,mosquito,1684181168368,1684181167079,Animals,1684181083277,0,Immediate,7.202
449,61079a83c6af47f112977a97,2,29,gnat,1684181169994,1684181169390,Animals,1684181083277,0,Immediate,1.626
447,61004bf77aff9a6e73bcca30,1,1,dog,1684180713908,1684180712611,Animals,1684180708162,0,Immediate,5.746
447,61004bf77aff9a6e73bcca30,1,2,cat,1684180715376,1684180714715,Animals,1684180708162,0,Immediate,1.468
447,61004bf77aff9a6e73bcca30,1,3,zebra,1684180718332,1684180717252,Animals,1684180708162,0,Immediate,2.956
447,61004bf77aff9a6e73bcca30,1,4,rabbit,1684180721590,1684180719197,Animals,1684180708162,0,Immediate,3.258
447,61004bf77aff9a6e73bcca30,1,5,snake,1684180724213,1684180723201,Animals,1684180708162,0,Immediate,2.623
447,61004bf77aff9a6e73bcca30,1,6,spider,1684180727423,1684180725198,Animals,1684180708162,0,Immediate,3.21
447,61004bf77aff9a6e73bcca30,1,7,rhinoceros,1684180730518,1684180728993,Animals,1684180708162,0,Immediate,3.095
447,61004bf77aff9a6e73bcca30,1,8,shark,1684180732553,1684180731524,Animals,1684180708162,0,Immediate,2.035
447,61004bf77aff9a6e73bcca30,1,9,redpanda,1684180739180,1684180735817,Animals,1684180708162,0,Immediate,6.627
447,61004bf77aff9a6e73bcca30,1,10,panda,1684180741692,1684180739954,Animals,1684180708162,0,Immediate,2.512
447,61004bf77aff9a6e73bcca30,1,11,bear,1684180742939,1684180742130,Animals,1684180708162,0,Immediate,1.247
447,61004bf77aff9a6e73bcca30,1,12,monkey,1684180748560,1684180745965,Animals,1684180708162,0,Immediate,5.621
447,61004bf77aff9a6e73bcca30,1,13,gorilla,1684180751146,1684180749111,Animals,1684180708162,0,Immediate,2.586
447,61004bf77aff9a6e73bcca30,1,14,lion,1684180757371,1684180756282,Animals,1684180708162,0,Immediate,6.225
447,61004bf77aff9a6e73bcca30,1,15,cheetah,1684180771592,1684180758296,Animals,1684180708162,0,Immediate,14.221
447,61004bf77aff9a6e73bcca30,1,16,gecko,1684180777732,1684180776324,Animals,1684180708162,0,Immediate,6.14
447,61004bf77aff9a6e73bcca30,1,17,deer,1684180786568,1684180785332,Animals,1684180708162,0,Immediate,8.836
