"prolific_id"	"items"
"5c6ae4c31b9d0e000190bacc"	"zebra"
"5c6ae4c31b9d0e000190bacc"	"fox"
"5c6ae4c31b9d0e000190bacc"	"leopard"
"5c6ae4c31b9d0e000190bacc"	"mink"
"5c6ae4c31b9d0e000190bacc"	"rat"
"5c6ae4c31b9d0e000190bacc"	"snake"
"5c6ae4c31b9d0e000190bacc"	"bug"
"5c6ae4c31b9d0e000190bacc"	"horse"
"5c6ae4c31b9d0e000190bacc"	"sheep"
"5c6ae4c31b9d0e000190bacc"	"elephant"
"5c6ae4c31b9d0e000190bacc"	"koala"
"5c6ae4c31b9d0e000190bacc"	"hippopotamus"
"5c6ae4c31b9d0e000190bacc"	"duck"
"5c6ae4c31b9d0e000190bacc"	"pigeon"
"5c6ae4c31b9d0e000190bacc"	"tiger"
"5c6ae4c31b9d0e000190bacc"	"wasp"
"5c6ae4c31b9d0e000190bacc"	"cobra"
"5c6ae4c31b9d0e000190bacc"	"cow"
"60bac4eb11e08e852fd030ab"	"lion"
"60bac4eb11e08e852fd030ab"	"tiger"
"60bac4eb11e08e852fd030ab"	"bear"
"60bac4eb11e08e852fd030ab"	"chimpanzee"
"60bac4eb11e08e852fd030ab"	"gorilla"
"60bac4eb11e08e852fd030ab"	"orangutan"
"60bac4eb11e08e852fd030ab"	"human"
"60bac4eb11e08e852fd030ab"	"spidermonkey"
"60bac4eb11e08e852fd030ab"	"mouse"
"60bac4eb11e08e852fd030ab"	"rat"
"60bac4eb11e08e852fd030ab"	"hamster"
"60bac4eb11e08e852fd030ab"	"rabbit"
"60bac4eb11e08e852fd030ab"	"deer"
"60bac4eb11e08e852fd030ab"	"antelope"
"60bac4eb11e08e852fd030ab"	"elephant"
"60bac4eb11e08e852fd030ab"	"hippopotamus"
"60bac4eb11e08e852fd030ab"	"rhinoceros"
"60bac4eb11e08e852fd030ab"	"whale"
"60bac4eb11e08e852fd030ab"	"dolphin"
"60bac4eb11e08e852fd030ab"	"dog"
"60bac4eb11e08e852fd030ab"	"cat"
"64480435f0fd571589cf1e31"	"dog"
"64480435f0fd571589cf1e31"	"cat"
"64480435f0fd571589cf1e31"	"moose"
"64480435f0fd571589cf1e31"	"mouse"
"64480435f0fd571589cf1e31"	"rat"
"64480435f0fd571589cf1e31"	"lion"
"64480435f0fd571589cf1e31"	"tiger"
"64480435f0fd571589cf1e31"	"bear"
"64480435f0fd571589cf1e31"	"koala"
"64480435f0fd571589cf1e31"	"kangaroo"
"64480435f0fd571589cf1e31"	"eagle"
"64480435f0fd571589cf1e31"	"owl"
"64480435f0fd571589cf1e31"	"wolf"
"64480435f0fd571589cf1e31"	"fox"
"64480435f0fd571589cf1e31"	"skunk"
"64480435f0fd571589cf1e31"	"raccoon"
"64480435f0fd571589cf1e31"	"rabbit"
"64480435f0fd571589cf1e31"	"hare"
"64480435f0fd571589cf1e31"	"deer"
"64480435f0fd571589cf1e31"	"elk"
"64480435f0fd571589cf1e31"	"goat"
"64480435f0fd571589cf1e31"	"horse"
"64480435f0fd571589cf1e31"	"hippopotamus"
"64480435f0fd571589cf1e31"	"rhinoceros"
"5a0efb83ab721b0001ef8509"	"cat"
"5a0efb83ab721b0001ef8509"	"squirrel"
"5a0efb83ab721b0001ef8509"	"bird"
"5a0efb83ab721b0001ef8509"	"fish"
"5a0efb83ab721b0001ef8509"	"turtle"
"5a0efb83ab721b0001ef8509"	"snake"
"5a0efb83ab721b0001ef8509"	"bat"
"5a0efb83ab721b0001ef8509"	"bear"
"5a0efb83ab721b0001ef8509"	"moose"
"5a0efb83ab721b0001ef8509"	"deer"
"5a0efb83ab721b0001ef8509"	"raccoon"
"5a0efb83ab721b0001ef8509"	"human"
"5a0efb83ab721b0001ef8509"	"rat"
"5a0efb83ab721b0001ef8509"	"ant"
"5a0efb83ab721b0001ef8509"	"wasp"
"5a0efb83ab721b0001ef8509"	"mosquito"
"5a0efb83ab721b0001ef8509"	"elephant"
"5a0efb83ab721b0001ef8509"	"cow"
"5a0efb83ab721b0001ef8509"	"lizard"
"5a9b1eb7873cda0001dcb3c4"	"ostrich"
"5a9b1eb7873cda0001dcb3c4"	"cat"
"5a9b1eb7873cda0001dcb3c4"	"dog"
"5a9b1eb7873cda0001dcb3c4"	"elephant"
"5a9b1eb7873cda0001dcb3c4"	"tiger"
"5a9b1eb7873cda0001dcb3c4"	"lion"
"5a9b1eb7873cda0001dcb3c4"	"cheetah"
"5a9b1eb7873cda0001dcb3c4"	"bird"
"5a9b1eb7873cda0001dcb3c4"	"iguana"
"5a9b1eb7873cda0001dcb3c4"	"snake"
"5a9b1eb7873cda0001dcb3c4"	"rabbit"
"5a9b1eb7873cda0001dcb3c4"	"gerbil"
"5a9b1eb7873cda0001dcb3c4"	"giraffe"
"5a9b1eb7873cda0001dcb3c4"	"duck"
"5a9b1eb7873cda0001dcb3c4"	"goose"
"5a9b1eb7873cda0001dcb3c4"	"squirrel"
"5a9b1eb7873cda0001dcb3c4"	"hen"
"5a9b1eb7873cda0001dcb3c4"	"stork"
"5a9b1eb7873cda0001dcb3c4"	"flamingo"
"5dda993086c886a06ce9108d"	"elephant"
"5dda993086c886a06ce9108d"	"aardvark"
"5dda993086c886a06ce9108d"	"raccoon"
"5dda993086c886a06ce9108d"	"gopher"
"5dda993086c886a06ce9108d"	"goat"
"5dda993086c886a06ce9108d"	"cow"
"5dda993086c886a06ce9108d"	"dog"
"5dda993086c886a06ce9108d"	"cat"
"5dda993086c886a06ce9108d"	"kangaroo"
"5dda993086c886a06ce9108d"	"rat"
"5dda993086c886a06ce9108d"	"mouse"
"5dda993086c886a06ce9108d"	"dormouse"
"5dda993086c886a06ce9108d"	"caribou"
"5dda993086c886a06ce9108d"	"kitten"
"5dda993086c886a06ce9108d"	"tiger"
"5dda993086c886a06ce9108d"	"panther"
"5dda993086c886a06ce9108d"	"puma"
"5dda993086c886a06ce9108d"	"lion"
"5dda993086c886a06ce9108d"	"mountainlion"
"5dda993086c886a06ce9108d"	"whale"
"5dda993086c886a06ce9108d"	"antelope"
"5dda993086c886a06ce9108d"	"pangolin"
"6029acb673830e93bcc9230f"	"cat"
"6029acb673830e93bcc9230f"	"dog"
"6029acb673830e93bcc9230f"	"crayfish"
"6029acb673830e93bcc9230f"	"salmon"
"6029acb673830e93bcc9230f"	"lion"
"6029acb673830e93bcc9230f"	"panther"
"6029acb673830e93bcc9230f"	"sloth"
"6029acb673830e93bcc9230f"	"antelope"
"6029acb673830e93bcc9230f"	"coyote"
"6029acb673830e93bcc9230f"	"fox"
"6029acb673830e93bcc9230f"	"hedgehog"
"6029acb673830e93bcc9230f"	"badger"
"6029acb673830e93bcc9230f"	"chipmunk"
"6029acb673830e93bcc9230f"	"squirrel"
"6029acb673830e93bcc9230f"	"perch"
"6029acb673830e93bcc9230f"	"eagle"
"6029acb673830e93bcc9230f"	"egret"
"6029acb673830e93bcc9230f"	"ibis"
"6029acb673830e93bcc9230f"	"peacock"
"640cf44e8bf4e101d82a76a1"	"cat"
"640cf44e8bf4e101d82a76a1"	"dog"
"640cf44e8bf4e101d82a76a1"	"deer"
"640cf44e8bf4e101d82a76a1"	"elk"
"640cf44e8bf4e101d82a76a1"	"bear"
"640cf44e8bf4e101d82a76a1"	"tiger"
"640cf44e8bf4e101d82a76a1"	"puma"
"640cf44e8bf4e101d82a76a1"	"pig"
"640cf44e8bf4e101d82a76a1"	"rooster"
"640cf44e8bf4e101d82a76a1"	"chicken"
"640cf44e8bf4e101d82a76a1"	"turtle"
"640cf44e8bf4e101d82a76a1"	"whale"
"5c1021a547d07800011a23de"	"horse"
"5c1021a547d07800011a23de"	"cow"
"5c1021a547d07800011a23de"	"zebra"
"5c1021a547d07800011a23de"	"leopard"
"5c1021a547d07800011a23de"	"tiger"
"5c1021a547d07800011a23de"	"lion"
"5c1021a547d07800011a23de"	"elephant"
"5c1021a547d07800011a23de"	"dolphin"
"5c1021a547d07800011a23de"	"duck"
"5c1021a547d07800011a23de"	"giraffe"
"5c1021a547d07800011a23de"	"monkey"
"5c1021a547d07800011a23de"	"goat"
"5c1021a547d07800011a23de"	"llama"
"5c1021a547d07800011a23de"	"alpaca"
"5c1021a547d07800011a23de"	"rat"
"5c1021a547d07800011a23de"	"otter"
"5c1021a547d07800011a23de"	"dog"
"5c1021a547d07800011a23de"	"cat"
"5ea3442e0db9862b6f42935d"	"dog"
"5ea3442e0db9862b6f42935d"	"dog"
"59c65eb83306be000195bb01"	"bear"
