,Subject,Fluency_Item,Switch_Value,Switch_Method
0,5c6ae4c31b9d0e000190bacc,zebra,2,simdrop
1,5c6ae4c31b9d0e000190bacc,fox,0,simdrop
2,5c6ae4c31b9d0e000190bacc,leopard,0,simdrop
3,5c6ae4c31b9d0e000190bacc,mink,0,simdrop
4,5c6ae4c31b9d0e000190bacc,rat,1,simdrop
5,5c6ae4c31b9d0e000190bacc,snake,0,simdrop
6,5c6ae4c31b9d0e000190bacc,bug,0,simdrop
7,5c6ae4c31b9d0e000190bacc,horse,1,simdrop
8,5c6ae4c31b9d0e000190bacc,sheep,0,simdrop
9,5c6ae4c31b9d0e000190bacc,elephant,1,simdrop
10,5c6ae4c31b9d0e000190bacc,koala,0,simdrop
11,5c6ae4c31b9d0e000190bacc,hippopotamus,0,simdrop
12,5c6ae4c31b9d0e000190bacc,duck,1,simdrop
13,5c6ae4c31b9d0e000190bacc,pigeon,0,simdrop
14,5c6ae4c31b9d0e000190bacc,tiger,0,simdrop
15,5c6ae4c31b9d0e000190bacc,wasp,1,simdrop
16,5c6ae4c31b9d0e000190bacc,cobra,0,simdrop
17,5c6ae4c31b9d0e000190bacc,cow,2,simdrop
18,60bac4eb11e08e852fd030ab,lion,2,simdrop
19,60bac4eb11e08e852fd030ab,tiger,0,simdrop
20,60bac4eb11e08e852fd030ab,bear,0,simdrop
21,60bac4eb11e08e852fd030ab,chimpanzee,1,simdrop
22,60bac4eb11e08e852fd030ab,gorilla,0,simdrop
23,60bac4eb11e08e852fd030ab,orangutan,0,simdrop
24,60bac4eb11e08e852fd030ab,human,0,simdrop
25,60bac4eb11e08e852fd030ab,spider_monkey,1,simdrop
26,60bac4eb11e08e852fd030ab,mouse,0,simdrop
27,60bac4eb11e08e852fd030ab,rat,0,simdrop
28,60bac4eb11e08e852fd030ab,hamster,0,simdrop
29,60bac4eb11e08e852fd030ab,rabbit,0,simdrop
30,60bac4eb11e08e852fd030ab,deer,1,simdrop
31,60bac4eb11e08e852fd030ab,antelope,0,simdrop
32,60bac4eb11e08e852fd030ab,elephant,1,simdrop
33,60bac4eb11e08e852fd030ab,hippopotamus,0,simdrop
34,60bac4eb11e08e852fd030ab,rhinoceros,0,simdrop
35,60bac4eb11e08e852fd030ab,whale,1,simdrop
36,60bac4eb11e08e852fd030ab,dolphin,0,simdrop
37,60bac4eb11e08e852fd030ab,dog,1,simdrop
38,60bac4eb11e08e852fd030ab,cat,2,simdrop
39,64480435f0fd571589cf1e31,dog,2,simdrop
40,64480435f0fd571589cf1e31,cat,0,simdrop
41,64480435f0fd571589cf1e31,moose,0,simdrop
42,64480435f0fd571589cf1e31,mouse,1,simdrop
43,64480435f0fd571589cf1e31,rat,0,simdrop
44,64480435f0fd571589cf1e31,lion,1,simdrop
45,64480435f0fd571589cf1e31,tiger,0,simdrop
46,64480435f0fd571589cf1e31,bear,0,simdrop
47,64480435f0fd571589cf1e31,koala,1,simdrop
48,64480435f0fd571589cf1e31,kangaroo,0,simdrop
49,64480435f0fd571589cf1e31,eagle,1,simdrop
50,64480435f0fd571589cf1e31,owl,0,simdrop
51,64480435f0fd571589cf1e31,wolf,0,simdrop
52,64480435f0fd571589cf1e31,fox,0,simdrop
53,64480435f0fd571589cf1e31,skunk,1,simdrop
54,64480435f0fd571589cf1e31,raccoon,0,simdrop
55,64480435f0fd571589cf1e31,rabbit,1,simdrop
56,64480435f0fd571589cf1e31,hare,0,simdrop
57,64480435f0fd571589cf1e31,deer,1,simdrop
58,64480435f0fd571589cf1e31,elk,0,simdrop
59,64480435f0fd571589cf1e31,goat,1,simdrop
60,64480435f0fd571589cf1e31,horse,0,simdrop
61,64480435f0fd571589cf1e31,hippopotamus,1,simdrop
62,64480435f0fd571589cf1e31,rhinoceros,2,simdrop
63,5a0efb83ab721b0001ef8509,cat,2,simdrop
64,5a0efb83ab721b0001ef8509,squirrel,0,simdrop
65,5a0efb83ab721b0001ef8509,bird,0,simdrop
66,5a0efb83ab721b0001ef8509,fish,1,simdrop
67,5a0efb83ab721b0001ef8509,turtle,0,simdrop
68,5a0efb83ab721b0001ef8509,snake,0,simdrop
69,5a0efb83ab721b0001ef8509,bat,0,simdrop
70,5a0efb83ab721b0001ef8509,bear,1,simdrop
71,5a0efb83ab721b0001ef8509,moose,0,simdrop
72,5a0efb83ab721b0001ef8509,deer,0,simdrop
73,5a0efb83ab721b0001ef8509,raccoon,0,simdrop
74,5a0efb83ab721b0001ef8509,human,1,simdrop
75,5a0efb83ab721b0001ef8509,rat,0,simdrop
76,5a0efb83ab721b0001ef8509,ant,0,simdrop
77,5a0efb83ab721b0001ef8509,wasp,0,simdrop
78,5a0efb83ab721b0001ef8509,mosquito,0,simdrop
79,5a0efb83ab721b0001ef8509,elephant,1,simdrop
80,5a0efb83ab721b0001ef8509,cow,0,simdrop
81,5a0efb83ab721b0001ef8509,lizard,2,simdrop
82,5a9b1eb7873cda0001dcb3c4,ostrich,2,simdrop
83,5a9b1eb7873cda0001dcb3c4,cat,0,simdrop
84,5a9b1eb7873cda0001dcb3c4,dog,0,simdrop
85,5a9b1eb7873cda0001dcb3c4,elephant,1,simdrop
86,5a9b1eb7873cda0001dcb3c4,tiger,0,simdrop
87,5a9b1eb7873cda0001dcb3c4,lion,0,simdrop
88,5a9b1eb7873cda0001dcb3c4,cheetah,1,simdrop
89,5a9b1eb7873cda0001dcb3c4,bird,0,simdrop
90,5a9b1eb7873cda0001dcb3c4,iguana,0,simdrop
91,5a9b1eb7873cda0001dcb3c4,snake,0,simdrop
92,5a9b1eb7873cda0001dcb3c4,rabbit,0,simdrop
93,5a9b1eb7873cda0001dcb3c4,gerbil,0,simdrop
94,5a9b1eb7873cda0001dcb3c4,giraffe,0,simdrop
95,5a9b1eb7873cda0001dcb3c4,duck,1,simdrop
96,5a9b1eb7873cda0001dcb3c4,goose,0,simdrop
97,5a9b1eb7873cda0001dcb3c4,squirrel,0,simdrop
98,5a9b1eb7873cda0001dcb3c4,hen,0,simdrop
99,5a9b1eb7873cda0001dcb3c4,stork,1,simdrop
100,5a9b1eb7873cda0001dcb3c4,flamingo,2,simdrop
101,5dda993086c886a06ce9108d,elephant,2,simdrop
102,5dda993086c886a06ce9108d,aardvark,0,simdrop
103,5dda993086c886a06ce9108d,raccoon,1,simdrop
104,5dda993086c886a06ce9108d,gopher,0,simdrop
105,5dda993086c886a06ce9108d,goat,1,simdrop
106,5dda993086c886a06ce9108d,cow,0,simdrop
107,5dda993086c886a06ce9108d,dog,1,simdrop
108,5dda993086c886a06ce9108d,cat,0,simdrop
109,5dda993086c886a06ce9108d,kangaroo,0,simdrop
110,5dda993086c886a06ce9108d,rat,1,simdrop
111,5dda993086c886a06ce9108d,mouse,0,simdrop
112,5dda993086c886a06ce9108d,dormouse,1,simdrop
113,5dda993086c886a06ce9108d,caribou,0,simdrop
114,5dda993086c886a06ce9108d,kitten,1,simdrop
115,5dda993086c886a06ce9108d,tiger,0,simdrop
116,5dda993086c886a06ce9108d,panther,0,simdrop
117,5dda993086c886a06ce9108d,puma,0,simdrop
118,5dda993086c886a06ce9108d,lion,1,simdrop
119,5dda993086c886a06ce9108d,mountain_lion,0,simdrop
120,5dda993086c886a06ce9108d,whale,0,simdrop
121,5dda993086c886a06ce9108d,antelope,1,simdrop
122,5dda993086c886a06ce9108d,pangolin,2,simdrop
123,6029acb673830e93bcc9230f,cat,2,simdrop
124,6029acb673830e93bcc9230f,dog,0,simdrop
125,6029acb673830e93bcc9230f,crayfish,1,simdrop
126,6029acb673830e93bcc9230f,salmon,0,simdrop
127,6029acb673830e93bcc9230f,lion,1,simdrop
128,6029acb673830e93bcc9230f,panther,0,simdrop
129,6029acb673830e93bcc9230f,sloth,0,simdrop
130,6029acb673830e93bcc9230f,antelope,1,simdrop
131,6029acb673830e93bcc9230f,coyote,0,simdrop
132,6029acb673830e93bcc9230f,fox,0,simdrop
133,6029acb673830e93bcc9230f,hedgehog,0,simdrop
134,6029acb673830e93bcc9230f,badger,1,simdrop
135,6029acb673830e93bcc9230f,chipmunk,0,simdrop
136,6029acb673830e93bcc9230f,squirrel,2,simdrop
137,640cf44e8bf4e101d82a76a1,cat,2,simdrop
138,640cf44e8bf4e101d82a76a1,dog,0,simdrop
139,640cf44e8bf4e101d82a76a1,deer,1,simdrop
140,640cf44e8bf4e101d82a76a1,elk,0,simdrop
141,640cf44e8bf4e101d82a76a1,bear,1,simdrop
142,640cf44e8bf4e101d82a76a1,tiger,0,simdrop
143,640cf44e8bf4e101d82a76a1,puma,0,simdrop
144,640cf44e8bf4e101d82a76a1,pig,1,simdrop
145,640cf44e8bf4e101d82a76a1,rooster,0,simdrop
146,640cf44e8bf4e101d82a76a1,chicken,0,simdrop
147,640cf44e8bf4e101d82a76a1,turtle,1,simdrop
148,640cf44e8bf4e101d82a76a1,whale,2,simdrop
149,5c1021a547d07800011a23de,horse,2,simdrop
150,5c1021a547d07800011a23de,cow,0,simdrop
151,5c1021a547d07800011a23de,zebra,1,simdrop
152,5c1021a547d07800011a23de,leopard,0,simdrop
153,5c1021a547d07800011a23de,tiger,0,simdrop
154,5c1021a547d07800011a23de,lion,0,simdrop
155,5c1021a547d07800011a23de,elephant,0,simdrop
156,5c1021a547d07800011a23de,dolphin,0,simdrop
157,5c1021a547d07800011a23de,duck,0,simdrop
158,5c1021a547d07800011a23de,giraffe,1,simdrop
159,5c1021a547d07800011a23de,monkey,0,simdrop
160,5c1021a547d07800011a23de,goat,1,simdrop
161,5c1021a547d07800011a23de,llama,0,simdrop
162,5c1021a547d07800011a23de,alpaca,0,simdrop
163,5c1021a547d07800011a23de,rat,1,simdrop
164,5c1021a547d07800011a23de,otter,0,simdrop
165,5c1021a547d07800011a23de,dog,1,simdrop
166,5c1021a547d07800011a23de,cat,2,simdrop
167,5ea3442e0db9862b6f42935d,dog,2,simdrop
168,5ea3442e0db9862b6f42935d,dog,2,simdrop
169,59c65eb83306be000195bb01,bear,2,simdrop
170,59c65eb83306be000195bb01,ant,0,simdrop
171,59c65eb83306be000195bb01,spider,0,simdrop
172,59c65eb83306be000195bb01,crow,0,simdrop
173,59c65eb83306be000195bb01,eagle,0,simdrop
174,59c65eb83306be000195bb01,hawk,1,simdrop
175,59c65eb83306be000195bb01,grackle,0,simdrop
176,59c65eb83306be000195bb01,anteater,0,simdrop
177,59c65eb83306be000195bb01,lion,1,simdrop
178,59c65eb83306be000195bb01,tiger,0,simdrop
179,59c65eb83306be000195bb01,mouse,0,simdrop
180,59c65eb83306be000195bb01,moose,1,simdrop
181,59c65eb83306be000195bb01,dog,0,simdrop
182,59c65eb83306be000195bb01,fisher,1,simdrop
183,59c65eb83306be000195bb01,kingfisher,2,simdrop
184,5bd9dc9abf1a7800011db1f1,fox,2,simdrop
185,5bd9dc9abf1a7800011db1f1,cow,0,simdrop
186,5bd9dc9abf1a7800011db1f1,pig,0,simdrop
187,5bd9dc9abf1a7800011db1f1,giraffe,0,simdrop
188,5bd9dc9abf1a7800011db1f1,dog,1,simdrop
189,5bd9dc9abf1a7800011db1f1,cat,0,simdrop
190,5bd9dc9abf1a7800011db1f1,mouse,1,simdrop
191,5bd9dc9abf1a7800011db1f1,hamster,0,simdrop
192,5bd9dc9abf1a7800011db1f1,bird,1,simdrop
193,5bd9dc9abf1a7800011db1f1,monkey,0,simdrop
194,5bd9dc9abf1a7800011db1f1,lion,0,simdrop
195,5bd9dc9abf1a7800011db1f1,tiger,0,simdrop
196,5bd9dc9abf1a7800011db1f1,jaguar,0,simdrop
197,5bd9dc9abf1a7800011db1f1,seal,1,simdrop
198,5bd9dc9abf1a7800011db1f1,fish,0,simdrop
199,5bd9dc9abf1a7800011db1f1,gorilla,0,simdrop
200,5bd9dc9abf1a7800011db1f1,duck,0,simdrop
201,5bd9dc9abf1a7800011db1f1,hen,0,simdrop
202,5bd9dc9abf1a7800011db1f1,rooster,0,simdrop
203,5bd9dc9abf1a7800011db1f1,chicken,0,simdrop
204,5bd9dc9abf1a7800011db1f1,bear,2,simdrop
205,60b4277a6c6540693acdd766,cat,2,simdrop
206,60b4277a6c6540693acdd766,pigeon,0,simdrop
207,60b4277a6c6540693acdd766,dog,1,simdrop
208,60b4277a6c6540693acdd766,greyhound,0,simdrop
209,60b4277a6c6540693acdd766,giraffe,1,simdrop
210,60b4277a6c6540693acdd766,elephant,0,simdrop
211,60b4277a6c6540693acdd766,zebra,0,simdrop
212,60b4277a6c6540693acdd766,orangutan,1,simdrop
213,60b4277a6c6540693acdd766,chimpanzee,0,simdrop
214,60b4277a6c6540693acdd766,bullfrog,1,simdrop
215,60b4277a6c6540693acdd766,otter,0,simdrop
216,60b4277a6c6540693acdd766,hippopotamus,0,simdrop
217,60b4277a6c6540693acdd766,lion,1,simdrop
218,60b4277a6c6540693acdd766,tiger,2,simdrop
219,5825dc1f7fcbaa000134776e,fox,2,simdrop
220,5825dc1f7fcbaa000134776e,chicken,0,simdrop
221,5825dc1f7fcbaa000134776e,goat,0,simdrop
222,5825dc1f7fcbaa000134776e,dog,0,simdrop
223,5825dc1f7fcbaa000134776e,cat,0,simdrop
224,5825dc1f7fcbaa000134776e,horse,1,simdrop
225,5825dc1f7fcbaa000134776e,camel,0,simdrop
226,5825dc1f7fcbaa000134776e,bear,0,simdrop
227,5825dc1f7fcbaa000134776e,eagle,1,simdrop
228,5825dc1f7fcbaa000134776e,fish,0,simdrop
229,5825dc1f7fcbaa000134776e,lion,1,simdrop
230,5825dc1f7fcbaa000134776e,tiger,0,simdrop
231,5825dc1f7fcbaa000134776e,mule,2,simdrop
232,5cab69f77ea4a700019a87dc,cat,2,simdrop
233,5cab69f77ea4a700019a87dc,dog,0,simdrop
234,5cab69f77ea4a700019a87dc,fish,1,simdrop
235,5cab69f77ea4a700019a87dc,lion,0,simdrop
236,5cab69f77ea4a700019a87dc,tiger,0,simdrop
237,5cab69f77ea4a700019a87dc,bear,0,simdrop
238,5cab69f77ea4a700019a87dc,turtle,1,simdrop
239,5cab69f77ea4a700019a87dc,snake,0,simdrop
240,5cab69f77ea4a700019a87dc,lizard,0,simdrop
241,5cab69f77ea4a700019a87dc,gerbil,1,simdrop
242,5cab69f77ea4a700019a87dc,hamster,0,simdrop
243,5cab69f77ea4a700019a87dc,panda,0,simdrop
