,Subject,Fluency_Item,Switch_Value,Switch_Method
0,62827483ae4c6af3f0af9bce,fox,2,simdrop
1,62827483ae4c6af3f0af9bce,dog,0,simdrop
2,62827483ae4c6af3f0af9bce,cat,0,simdrop
3,62827483ae4c6af3f0af9bce,mouse,1,simdrop
4,62827483ae4c6af3f0af9bce,rat,0,simdrop
5,62827483ae4c6af3f0af9bce,lemur,1,simdrop
6,62827483ae4c6af3f0af9bce,meerkat,0,simdrop
7,62827483ae4c6af3f0af9bce,kangaroo,1,simdrop
8,62827483ae4c6af3f0af9bce,koala,0,simdrop
9,62827483ae4c6af3f0af9bce,bat,0,simdrop
10,62827483ae4c6af3f0af9bce,sloth,1,simdrop
11,62827483ae4c6af3f0af9bce,chimpanzee,0,simdrop
12,62827483ae4c6af3f0af9bce,bonobo,0,simdrop
13,62827483ae4c6af3f0af9bce,parrot,1,simdrop
14,62827483ae4c6af3f0af9bce,parakeet,0,simdrop
15,62827483ae4c6af3f0af9bce,giraffe,1,simdrop
16,62827483ae4c6af3f0af9bce,tiger,0,simdrop
17,62827483ae4c6af3f0af9bce,lion,0,simdrop
18,62827483ae4c6af3f0af9bce,llama,1,simdrop
19,62827483ae4c6af3f0af9bce,wolf,0,simdrop
20,62827483ae4c6af3f0af9bce,sheep,0,simdrop
21,62827483ae4c6af3f0af9bce,goat,0,simdrop
22,62827483ae4c6af3f0af9bce,chicken,0,simdrop
23,62827483ae4c6af3f0af9bce,cow,1,simdrop
24,62827483ae4c6af3f0af9bce,pig,0,simdrop
25,62827483ae4c6af3f0af9bce,octopus,1,simdrop
26,62827483ae4c6af3f0af9bce,shark,0,simdrop
27,62827483ae4c6af3f0af9bce,lizard,0,simdrop
28,62827483ae4c6af3f0af9bce,eagle,1,simdrop
29,62827483ae4c6af3f0af9bce,rabbit,0,simdrop
30,62827483ae4c6af3f0af9bce,ferret,2,simdrop
31,63d8032fd2b4f1648f8ca4db,dog,2,simdrop
32,63d8032fd2b4f1648f8ca4db,cat,0,simdrop
33,63d8032fd2b4f1648f8ca4db,fox,0,simdrop
34,63d8032fd2b4f1648f8ca4db,panther,1,simdrop
35,63d8032fd2b4f1648f8ca4db,puma,0,simdrop
36,63d8032fd2b4f1648f8ca4db,zebra,1,simdrop
37,63d8032fd2b4f1648f8ca4db,tiger,0,simdrop
38,63d8032fd2b4f1648f8ca4db,giraffe,0,simdrop
39,63d8032fd2b4f1648f8ca4db,hyena,0,simdrop
40,63d8032fd2b4f1648f8ca4db,dolphin,1,simdrop
41,63d8032fd2b4f1648f8ca4db,orca,0,simdrop
42,63d8032fd2b4f1648f8ca4db,whale,0,simdrop
43,63d8032fd2b4f1648f8ca4db,parrot,1,simdrop
44,63d8032fd2b4f1648f8ca4db,crocodile,0,simdrop
45,63d8032fd2b4f1648f8ca4db,alligator,2,simdrop
46,63d829b1cfe7269141a85156,bird,2,simdrop
47,63d829b1cfe7269141a85156,dog,0,simdrop
48,63d829b1cfe7269141a85156,cat,0,simdrop
49,63d829b1cfe7269141a85156,turtle,1,simdrop
50,63d829b1cfe7269141a85156,shrimp,0,simdrop
51,63d829b1cfe7269141a85156,shark,1,simdrop
52,63d829b1cfe7269141a85156,whale,0,simdrop
53,63d829b1cfe7269141a85156,cockroach,2,simdrop
