"prolific_id"	"items"
"62b9e995fd8c321a2f65a6cd"	"elephant"
"62b9e995fd8c321a2f65a6cd"	"giraffe"
"62b9e995fd8c321a2f65a6cd"	"bear"
"62b9e995fd8c321a2f65a6cd"	"lion"
"62b9e995fd8c321a2f65a6cd"	"eel"
"62b9e995fd8c321a2f65a6cd"	"cat"
"62b9e995fd8c321a2f65a6cd"	"bunny"
"62b9e995fd8c321a2f65a6cd"	"rabbit"
"62b9e995fd8c321a2f65a6cd"	"raccoon"
"62b9e995fd8c321a2f65a6cd"	"deer"
"62b9e995fd8c321a2f65a6cd"	"antelope"
"62b9e995fd8c321a2f65a6cd"	"seagull"
"62b9e995fd8c321a2f65a6cd"	"ram"
"62b9e995fd8c321a2f65a6cd"	"eagle"
"62b9e995fd8c321a2f65a6cd"	"bat"
"62b9e995fd8c321a2f65a6cd"	"donkey"
"62b9e995fd8c321a2f65a6cd"	"camel"
"63bca22d6fa8440663c937f1"	"dog"
"63bca22d6fa8440663c937f1"	"cat"
"63bca22d6fa8440663c937f1"	"elephant"
"63bca22d6fa8440663c937f1"	"rhinoceros"
"63bca22d6fa8440663c937f1"	"lion"
"63bca22d6fa8440663c937f1"	"snake"
"63bca22d6fa8440663c937f1"	"bird"
"63bca22d6fa8440663c937f1"	"tiger"
"63bca22d6fa8440663c937f1"	"fish"
"63bca22d6fa8440663c937f1"	"shark"
"63bca22d6fa8440663c937f1"	"lobster"
"63bca22d6fa8440663c937f1"	"crab"
"63bca22d6fa8440663c937f1"	"clam"
"5c83394a3e93bf0001e143d6"	"cat"
"5c83394a3e93bf0001e143d6"	"dog"
"5c83394a3e93bf0001e143d6"	"elephant"
"5c83394a3e93bf0001e143d6"	"giraffe"
"5c83394a3e93bf0001e143d6"	"whale"
"5c83394a3e93bf0001e143d6"	"dolphin"
"5c83394a3e93bf0001e143d6"	"shark"
"5c83394a3e93bf0001e143d6"	"eel"
"5c83394a3e93bf0001e143d6"	"fish"
"5c83394a3e93bf0001e143d6"	"mantaray"
"5c83394a3e93bf0001e143d6"	"ape"
"5c83394a3e93bf0001e143d6"	"chimpanzee"
"5c83394a3e93bf0001e143d6"	"gorilla"
"5c83394a3e93bf0001e143d6"	"crab"
"5c83394a3e93bf0001e143d6"	"bear"
"5c83394a3e93bf0001e143d6"	"deer"
"5c83394a3e93bf0001e143d6"	"fox"
"5c83394a3e93bf0001e143d6"	"crow"
"5c83394a3e93bf0001e143d6"	"dove"
"5c83394a3e93bf0001e143d6"	"bluebird"
"5c83394a3e93bf0001e143d6"	"oriole"
"5c83394a3e93bf0001e143d6"	"horse"
"5c83394a3e93bf0001e143d6"	"sheep"
"5c83394a3e93bf0001e143d6"	"goat"
"5c83394a3e93bf0001e143d6"	"pig"
"5c83394a3e93bf0001e143d6"	"cow"
"5c83394a3e93bf0001e143d6"	"boar"
"5c83394a3e93bf0001e143d6"	"chicken"
"5c83394a3e93bf0001e143d6"	"turkey"
"5c83394a3e93bf0001e143d6"	"parrot"
"5c83394a3e93bf0001e143d6"	"lizard"
"5c83394a3e93bf0001e143d6"	"crocodile"
"5c83394a3e93bf0001e143d6"	"alligator"
"5c83394a3e93bf0001e143d6"	"komododragon"
"5c83394a3e93bf0001e143d6"	"leopard"
"5c83394a3e93bf0001e143d6"	"puma"
"5c83394a3e93bf0001e143d6"	"lion"
"5c83394a3e93bf0001e143d6"	"tiger"
"63312d50b69dc2a2122ed1c2"	"zebra"
"63312d50b69dc2a2122ed1c2"	"dog"
"63312d50b69dc2a2122ed1c2"	"cat"
"63312d50b69dc2a2122ed1c2"	"mouse"
"63312d50b69dc2a2122ed1c2"	"cow"
"63312d50b69dc2a2122ed1c2"	"horse"
"63312d50b69dc2a2122ed1c2"	"bird"
"63312d50b69dc2a2122ed1c2"	"hawk"
"63312d50b69dc2a2122ed1c2"	"bull"
"63312d50b69dc2a2122ed1c2"	"turtle"
"63312d50b69dc2a2122ed1c2"	"tiger"
"63312d50b69dc2a2122ed1c2"	"lion"
"63312d50b69dc2a2122ed1c2"	"moose"
"63312d50b69dc2a2122ed1c2"	"goose"
"63312d50b69dc2a2122ed1c2"	"cougar"
"63312d50b69dc2a2122ed1c2"	"cardinal"
"63312d50b69dc2a2122ed1c2"	"platypus"
"63312d50b69dc2a2122ed1c2"	"fish"
"63312d50b69dc2a2122ed1c2"	"shark"
"63312d50b69dc2a2122ed1c2"	"worm"
"63312d50b69dc2a2122ed1c2"	"bug"
"63312d50b69dc2a2122ed1c2"	"caterpillar"
"63312d50b69dc2a2122ed1c2"	"chicken"
"63312d50b69dc2a2122ed1c2"	"duck"
"6320b3ef5b3c6405eea0f4ca"	"elephant"
"6320b3ef5b3c6405eea0f4ca"	"tiger"
"6320b3ef5b3c6405eea0f4ca"	"cheetah"
"6320b3ef5b3c6405eea0f4ca"	"hyena"
"6320b3ef5b3c6405eea0f4ca"	"lion"
"6320b3ef5b3c6405eea0f4ca"	"trout"
"6320b3ef5b3c6405eea0f4ca"	"gorilla"
"6320b3ef5b3c6405eea0f4ca"	"sloth"
"6320b3ef5b3c6405eea0f4ca"	"badger"
"6320b3ef5b3c6405eea0f4ca"	"turtle"
"6320b3ef5b3c6405eea0f4ca"	"kangaroo"
"6320b3ef5b3c6405eea0f4ca"	"koala"
"6025b3681ff1521a3369dffe"	"dog"
