,Subject,Fluency_Item,Switch_Value,Switch_Method
0,62b9e995fd8c321a2f65a6cd,elephant,2,simdrop
1,62b9e995fd8c321a2f65a6cd,giraffe,0,simdrop
2,62b9e995fd8c321a2f65a6cd,bear,1,simdrop
3,62b9e995fd8c321a2f65a6cd,lion,0,simdrop
4,62b9e995fd8c321a2f65a6cd,eel,1,simdrop
5,62b9e995fd8c321a2f65a6cd,cat,0,simdrop
6,62b9e995fd8c321a2f65a6cd,bunny,0,simdrop
7,62b9e995fd8c321a2f65a6cd,rabbit,0,simdrop
8,62b9e995fd8c321a2f65a6cd,raccoon,0,simdrop
9,62b9e995fd8c321a2f65a6cd,deer,1,simdrop
10,62b9e995fd8c321a2f65a6cd,antelope,0,simdrop
11,62b9e995fd8c321a2f65a6cd,seagull,0,simdrop
12,62b9e995fd8c321a2f65a6cd,ram,0,simdrop
13,62b9e995fd8c321a2f65a6cd,eagle,1,simdrop
14,62b9e995fd8c321a2f65a6cd,bat,0,simdrop
15,62b9e995fd8c321a2f65a6cd,donkey,1,simdrop
16,62b9e995fd8c321a2f65a6cd,camel,2,simdrop
17,63bca22d6fa8440663c937f1,dog,2,simdrop
18,63bca22d6fa8440663c937f1,cat,0,simdrop
19,63bca22d6fa8440663c937f1,elephant,1,simdrop
20,63bca22d6fa8440663c937f1,rhinoceros,0,simdrop
21,63bca22d6fa8440663c937f1,lion,0,simdrop
22,63bca22d6fa8440663c937f1,snake,1,simdrop
23,63bca22d6fa8440663c937f1,bird,0,simdrop
24,63bca22d6fa8440663c937f1,tiger,0,simdrop
25,63bca22d6fa8440663c937f1,fish,1,simdrop
26,63bca22d6fa8440663c937f1,shark,0,simdrop
27,63bca22d6fa8440663c937f1,lobster,1,simdrop
28,63bca22d6fa8440663c937f1,crab,0,simdrop
29,63bca22d6fa8440663c937f1,clam,2,simdrop
30,5c83394a3e93bf0001e143d6,cat,2,simdrop
31,5c83394a3e93bf0001e143d6,dog,0,simdrop
32,5c83394a3e93bf0001e143d6,elephant,1,simdrop
33,5c83394a3e93bf0001e143d6,giraffe,0,simdrop
34,5c83394a3e93bf0001e143d6,whale,1,simdrop
35,5c83394a3e93bf0001e143d6,dolphin,0,simdrop
36,5c83394a3e93bf0001e143d6,shark,0,simdrop
37,5c83394a3e93bf0001e143d6,eel,1,simdrop
38,5c83394a3e93bf0001e143d6,fish,0,simdrop
39,5c83394a3e93bf0001e143d6,manta_ray,1,simdrop
40,5c83394a3e93bf0001e143d6,ape,0,simdrop
41,5c83394a3e93bf0001e143d6,chimpanzee,0,simdrop
42,5c83394a3e93bf0001e143d6,gorilla,0,simdrop
43,5c83394a3e93bf0001e143d6,crab,0,simdrop
44,5c83394a3e93bf0001e143d6,bear,1,simdrop
45,5c83394a3e93bf0001e143d6,deer,0,simdrop
46,5c83394a3e93bf0001e143d6,fox,0,simdrop
47,5c83394a3e93bf0001e143d6,crow,0,simdrop
48,5c83394a3e93bf0001e143d6,dove,1,simdrop
49,5c83394a3e93bf0001e143d6,bluebird,0,simdrop
50,5c83394a3e93bf0001e143d6,oriole,0,simdrop
51,5c83394a3e93bf0001e143d6,horse,1,simdrop
52,5c83394a3e93bf0001e143d6,sheep,0,simdrop
53,5c83394a3e93bf0001e143d6,goat,0,simdrop
54,5c83394a3e93bf0001e143d6,pig,0,simdrop
55,5c83394a3e93bf0001e143d6,cow,0,simdrop
56,5c83394a3e93bf0001e143d6,boar,0,simdrop
57,5c83394a3e93bf0001e143d6,chicken,1,simdrop
58,5c83394a3e93bf0001e143d6,turkey,0,simdrop
59,5c83394a3e93bf0001e143d6,parrot,1,simdrop
60,5c83394a3e93bf0001e143d6,lizard,0,simdrop
61,5c83394a3e93bf0001e143d6,crocodile,0,simdrop
62,5c83394a3e93bf0001e143d6,alligator,0,simdrop
63,5c83394a3e93bf0001e143d6,komodo_dragon,0,simdrop
64,5c83394a3e93bf0001e143d6,leopard,0,simdrop
65,5c83394a3e93bf0001e143d6,puma,0,simdrop
66,5c83394a3e93bf0001e143d6,lion,1,simdrop
67,5c83394a3e93bf0001e143d6,tiger,2,simdrop
68,63312d50b69dc2a2122ed1c2,zebra,2,simdrop
69,63312d50b69dc2a2122ed1c2,dog,0,simdrop
70,63312d50b69dc2a2122ed1c2,cat,0,simdrop
71,63312d50b69dc2a2122ed1c2,mouse,0,simdrop
72,63312d50b69dc2a2122ed1c2,cow,1,simdrop
73,63312d50b69dc2a2122ed1c2,horse,0,simdrop
74,63312d50b69dc2a2122ed1c2,bird,1,simdrop
75,63312d50b69dc2a2122ed1c2,hawk,0,simdrop
76,63312d50b69dc2a2122ed1c2,bull,1,simdrop
77,63312d50b69dc2a2122ed1c2,turtle,0,simdrop
78,63312d50b69dc2a2122ed1c2,tiger,0,simdrop
79,63312d50b69dc2a2122ed1c2,lion,0,simdrop
80,63312d50b69dc2a2122ed1c2,moose,1,simdrop
81,63312d50b69dc2a2122ed1c2,goose,0,simdrop
82,63312d50b69dc2a2122ed1c2,cougar,0,simdrop
83,63312d50b69dc2a2122ed1c2,cardinal,0,simdrop
84,63312d50b69dc2a2122ed1c2,platypus,1,simdrop
85,63312d50b69dc2a2122ed1c2,fish,0,simdrop
86,63312d50b69dc2a2122ed1c2,shark,0,simdrop
87,63312d50b69dc2a2122ed1c2,worm,1,simdrop
88,63312d50b69dc2a2122ed1c2,bug,0,simdrop
89,63312d50b69dc2a2122ed1c2,caterpillar,0,simdrop
90,63312d50b69dc2a2122ed1c2,chicken,1,simdrop
91,63312d50b69dc2a2122ed1c2,duck,2,simdrop
92,6320b3ef5b3c6405eea0f4ca,elephant,2,simdrop
93,6320b3ef5b3c6405eea0f4ca,tiger,0,simdrop
94,6320b3ef5b3c6405eea0f4ca,cheetah,0,simdrop
95,6320b3ef5b3c6405eea0f4ca,hyena,0,simdrop
96,6320b3ef5b3c6405eea0f4ca,lion,0,simdrop
97,6320b3ef5b3c6405eea0f4ca,trout,0,simdrop
98,6320b3ef5b3c6405eea0f4ca,gorilla,1,simdrop
