"prolific_id"	"items"
"60fe1580147adc7ebeb315e6"	"zebra"
"60fe1580147adc7ebeb315e6"	"elephant"
"60fe1580147adc7ebeb315e6"	"cat"
"60fe1580147adc7ebeb315e6"	"dog"
"60fe1580147adc7ebeb315e6"	"ant"
"60fe1580147adc7ebeb315e6"	"bee"
"60fe1580147adc7ebeb315e6"	"hamster"
"60fe1580147adc7ebeb315e6"	"lion"
"60fe1580147adc7ebeb315e6"	"cheetah"
"60fe1580147adc7ebeb315e6"	"penguin"
"60fe1580147adc7ebeb315e6"	"ostrich"
"60fe1580147adc7ebeb315e6"	"tiger"
"60fe1580147adc7ebeb315e6"	"donkey"
"60fe1580147adc7ebeb315e6"	"horse"
"60fe1580147adc7ebeb315e6"	"sheep"
"60fe1580147adc7ebeb315e6"	"cow"
"60fe1580147adc7ebeb315e6"	"pig"
"60fe1580147adc7ebeb315e6"	"duck"
"60fe1580147adc7ebeb315e6"	"whale"
"60fe1580147adc7ebeb315e6"	"fish"
"60fe1580147adc7ebeb315e6"	"dolphin"
"60fe1580147adc7ebeb315e6"	"turtle"
"60fe1580147adc7ebeb315e6"	"crab"
"60fe1580147adc7ebeb315e6"	"lobster"
"60fe1580147adc7ebeb315e6"	"eagle"
"60fe1580147adc7ebeb315e6"	"hawk"
"60fe1580147adc7ebeb315e6"	"toad"
"60fe1580147adc7ebeb315e6"	"frog"
"60fe1580147adc7ebeb315e6"	"deer"
"60fe1580147adc7ebeb315e6"	"moose"
"60fe1580147adc7ebeb315e6"	"elk"
"60fe1580147adc7ebeb315e6"	"fox"
"60fe1580147adc7ebeb315e6"	"marmot"
"60fe1580147adc7ebeb315e6"	"mole"
"60fe1580147adc7ebeb315e6"	"mouse"
"60fe1580147adc7ebeb315e6"	"chinchilla"
"60fe1580147adc7ebeb315e6"	"ferret"
"60fe1580147adc7ebeb315e6"	"gecko"
"60fe1580147adc7ebeb315e6"	"chameleon"
"60fe1580147adc7ebeb315e6"	"snake"
"60fe1580147adc7ebeb315e6"	"python"
"60fe1580147adc7ebeb315e6"	"butterfly"
