,Subject,Fluency_Item,Switch_Value,Switch_Method
0,60fe1580147adc7ebeb315e6,dog,2,simdrop
1,60fe1580147adc7ebeb315e6,cat,0,simdrop
2,60fe1580147adc7ebeb315e6,hamster,0,simdrop
3,60fe1580147adc7ebeb315e6,rabbit,0,simdrop
4,60fe1580147adc7ebeb315e6,horse,1,simdrop
5,60fe1580147adc7ebeb315e6,pig,0,simdrop
6,60fe1580147adc7ebeb315e6,cow,0,simdrop
7,60fe1580147adc7ebeb315e6,sheep,0,simdrop
8,60fe1580147adc7ebeb315e6,whale,1,simdrop
9,60fe1580147adc7ebeb315e6,fish,0,simdrop
10,60fe1580147adc7ebeb315e6,dolphin,0,simdrop
11,60fe1580147adc7ebeb315e6,crab,1,simdrop
12,60fe1580147adc7ebeb315e6,lobster,0,simdrop
13,60fe1580147adc7ebeb315e6,duck,1,simdrop
14,60fe1580147adc7ebeb315e6,goose,0,simdrop
15,60fe1580147adc7ebeb315e6,moose,0,simdrop
16,60fe1580147adc7ebeb315e6,elk,0,simdrop
17,60fe1580147adc7ebeb315e6,deer,0,simdrop
18,60fe1580147adc7ebeb315e6,fox,1,simdrop
19,60fe1580147adc7ebeb315e6,marmot,0,simdrop
20,60fe1580147adc7ebeb315e6,chinchilla,0,simdrop
21,60fe1580147adc7ebeb315e6,lion,1,simdrop
22,60fe1580147adc7ebeb315e6,tiger,0,simdrop
23,60fe1580147adc7ebeb315e6,leopard,0,simdrop
24,60fe1580147adc7ebeb315e6,cheetah,0,simdrop
25,60fe1580147adc7ebeb315e6,zebra,0,simdrop
26,60fe1580147adc7ebeb315e6,donkey,0,simdrop
27,60fe1580147adc7ebeb315e6,mongoose,0,simdrop
28,60fe1580147adc7ebeb315e6,ferret,0,simdrop
29,60fe1580147adc7ebeb315e6,clam,1,simdrop
30,60fe1580147adc7ebeb315e6,spider,0,simdrop
31,60fe1580147adc7ebeb315e6,bee,0,simdrop
32,60fe1580147adc7ebeb315e6,butterfly,0,simdrop
33,60fe1580147adc7ebeb315e6,beetle,1,simdrop
34,60fe1580147adc7ebeb315e6,snake,0,simdrop
35,60fe1580147adc7ebeb315e6,python,0,simdrop
36,60fe1580147adc7ebeb315e6,gecko,0,simdrop
37,60fe1580147adc7ebeb315e6,chameleon,0,simdrop
38,60fe1580147adc7ebeb315e6,hippopotamus,1,simdrop
39,60fe1580147adc7ebeb315e6,rhinoceros,0,simdrop
40,60fe1580147adc7ebeb315e6,giraffe,0,simdrop
41,60fe1580147adc7ebeb315e6,monkey,1,simdrop
42,60fe1580147adc7ebeb315e6,chimpanzee,2,simdrop
43,6418bb561cef445487504b0b,bear,2,simdrop
44,6418bb561cef445487504b0b,tiger,0,simdrop
45,6418bb561cef445487504b0b,penguin,0,simdrop
46,6418bb561cef445487504b0b,dog,1,simdrop
47,6418bb561cef445487504b0b,wolf,0,simdrop
48,6418bb561cef445487504b0b,cat,0,simdrop
49,6418bb561cef445487504b0b,leopard,0,simdrop
50,6418bb561cef445487504b0b,panther,0,simdrop
51,6418bb561cef445487504b0b,snake,1,simdrop
52,6418bb561cef445487504b0b,crocodile,0,simdrop
53,6418bb561cef445487504b0b,hippopotamus,0,simdrop
54,6418bb561cef445487504b0b,lemur,0,simdrop
55,6418bb561cef445487504b0b,ferret,1,simdrop
56,6418bb561cef445487504b0b,raccoon,0,simdrop
57,6418bb561cef445487504b0b,turtle,0,simdrop
58,6418bb561cef445487504b0b,squirrel,0,simdrop
59,6418bb561cef445487504b0b,skunk,0,simdrop
60,6418bb561cef445487504b0b,possum,0,simdrop
61,6418bb561cef445487504b0b,llama,1,simdrop
62,6418bb561cef445487504b0b,alpaca,0,simdrop
63,6418bb561cef445487504b0b,horse,0,simdrop
64,6418bb561cef445487504b0b,bird,2,simdrop
65,5e82279d39ea6d067ea804eb,dog,2,simdrop
66,5e82279d39ea6d067ea804eb,cat,0,simdrop
67,5e82279d39ea6d067ea804eb,bird,0,simdrop
68,5e82279d39ea6d067ea804eb,cow,1,simdrop
69,5e82279d39ea6d067ea804eb,pig,0,simdrop
70,5e82279d39ea6d067ea804eb,monkey,0,simdrop
71,5e82279d39ea6d067ea804eb,lion,1,simdrop
72,5e82279d39ea6d067ea804eb,tiger,0,simdrop
73,5e82279d39ea6d067ea804eb,chimpanzee,0,simdrop
74,5e82279d39ea6d067ea804eb,zebra,0,simdrop
75,5e82279d39ea6d067ea804eb,horse,0,simdrop
76,5e82279d39ea6d067ea804eb,fish,1,simdrop
77,5e82279d39ea6d067ea804eb,turtle,0,simdrop
78,5e82279d39ea6d067ea804eb,puppy,1,simdrop
79,5e82279d39ea6d067ea804eb,kitten,0,simdrop
80,5e82279d39ea6d067ea804eb,whale,1,simdrop
81,5e82279d39ea6d067ea804eb,dolphin,0,simdrop
82,5e82279d39ea6d067ea804eb,kangaroo,1,simdrop
83,5e82279d39ea6d067ea804eb,dinosaur,2,simdrop
84,5fff3f938921560203546f23,bird,2,simdrop
85,5fff3f938921560203546f23,pigeon,0,simdrop
86,5fff3f938921560203546f23,rat,0,simdrop
87,5fff3f938921560203546f23,mouse,0,simdrop
88,5fff3f938921560203546f23,cockroach,1,simdrop
89,5fff3f938921560203546f23,elephant,0,simdrop
90,5fff3f938921560203546f23,lemur,0,simdrop
91,5fff3f938921560203546f23,giraffe,0,simdrop
92,5fff3f938921560203546f23,iguana,1,simdrop
93,5fff3f938921560203546f23,cat,0,simdrop
94,5fff3f938921560203546f23,dog,0,simdrop
95,5fff3f938921560203546f23,catfish,1,simdrop
96,5fff3f938921560203546f23,tadpole,0,simdrop
97,5fff3f938921560203546f23,frog,0,simdrop
98,5fff3f938921560203546f23,toad,0,simdrop
99,5fff3f938921560203546f23,peacock,0,simdrop
100,5fff3f938921560203546f23,bee,1,simdrop
101,5fff3f938921560203546f23,honeybee,0,simdrop
102,5fff3f938921560203546f23,tiger,1,simdrop
103,5fff3f938921560203546f23,lion,0,simdrop
104,5fff3f938921560203546f23,meerkat,1,simdrop
105,5fff3f938921560203546f23,prairie_dog,0,simdrop
106,5fff3f938921560203546f23,panther,0,simdrop
107,5fff3f938921560203546f23,ant,1,simdrop
108,5fff3f938921560203546f23,ladybug,0,simdrop
109,5fff3f938921560203546f23,caterpillar,0,simdrop
110,5fff3f938921560203546f23,butterfly,2,simdrop
111,5e4ccf6b4028e711db748f95,dog,2,simdrop
112,5e4ccf6b4028e711db748f95,cat,0,simdrop
113,5e4ccf6b4028e711db748f95,lizard,1,simdrop
114,5e4ccf6b4028e711db748f95,owl,0,simdrop
