,Subject,Fluency_Item,Switch_Value,Switch_Method
0,606734f4935218ab9f94703c,dog,2,simdrop
1,606734f4935218ab9f94703c,cat,0,simdrop
2,606734f4935218ab9f94703c,zebra,0,simdrop
3,606734f4935218ab9f94703c,horse,1,simdrop
4,606734f4935218ab9f94703c,goat,0,simdrop
5,606734f4935218ab9f94703c,cow,0,simdrop
6,606734f4935218ab9f94703c,mule,1,simdrop
7,606734f4935218ab9f94703c,donkey,0,simdrop
8,606734f4935218ab9f94703c,cheetah,1,simdrop
9,606734f4935218ab9f94703c,giraffe,0,simdrop
10,606734f4935218ab9f94703c,sheep,0,simdrop
11,606734f4935218ab9f94703c,elephant,1,simdrop
12,606734f4935218ab9f94703c,rhinoceros,0,simdrop
13,606734f4935218ab9f94703c,hippopotamus,0,simdrop
14,606734f4935218ab9f94703c,eagle,0,simdrop
15,606734f4935218ab9f94703c,chicken,1,simdrop
16,606734f4935218ab9f94703c,hawk,0,simdrop
17,606734f4935218ab9f94703c,opossum,1,simdrop
18,606734f4935218ab9f94703c,skunk,0,simdrop
19,606734f4935218ab9f94703c,armadillo,0,simdrop
20,606734f4935218ab9f94703c,rat,1,simdrop
21,606734f4935218ab9f94703c,monkey,2,simdrop
22,5ef11fdda0736031899eb5dc,cow,2,simdrop
23,5ef11fdda0736031899eb5dc,cat,0,simdrop
24,5ef11fdda0736031899eb5dc,dog,0,simdrop
25,5ef11fdda0736031899eb5dc,bird,1,simdrop
26,5ef11fdda0736031899eb5dc,otter,0,simdrop
27,5ef11fdda0736031899eb5dc,alligator,1,simdrop
28,5ef11fdda0736031899eb5dc,crocodile,0,simdrop
29,5ef11fdda0736031899eb5dc,pig,1,simdrop
30,5ef11fdda0736031899eb5dc,buffalo,0,simdrop
31,5ef11fdda0736031899eb5dc,elk,0,simdrop
32,5ef11fdda0736031899eb5dc,possum,1,simdrop
33,5ef11fdda0736031899eb5dc,porcupine,0,simdrop
34,5ef11fdda0736031899eb5dc,kangaroo,0,simdrop
35,5ef11fdda0736031899eb5dc,bat,2,simdrop
36,5c3630c83ce2c8000111b504,lion,2,simdrop
37,5c3630c83ce2c8000111b504,tiger,0,simdrop
38,5c3630c83ce2c8000111b504,panther,0,simdrop
39,5c3630c83ce2c8000111b504,leopard,0,simdrop
40,5c3630c83ce2c8000111b504,gnu,1,simdrop
41,5c3630c83ce2c8000111b504,antelope,0,simdrop
42,5c3630c83ce2c8000111b504,elephant,0,simdrop
43,5c3630c83ce2c8000111b504,ape,1,simdrop
44,5c3630c83ce2c8000111b504,monkey,0,simdrop
45,5c3630c83ce2c8000111b504,orangutan,0,simdrop
46,5c3630c83ce2c8000111b504,cat,1,simdrop
47,5c3630c83ce2c8000111b504,dog,0,simdrop
48,5c3630c83ce2c8000111b504,parrot,1,simdrop
49,5c3630c83ce2c8000111b504,rabbit,0,simdrop
50,5c3630c83ce2c8000111b504,mole,0,simdrop
51,5c3630c83ce2c8000111b504,vole,1,simdrop
52,5c3630c83ce2c8000111b504,rhinoceros,0,simdrop
53,5c3630c83ce2c8000111b504,snake,0,simdrop
54,5c3630c83ce2c8000111b504,turtle,0,simdrop
55,5c3630c83ce2c8000111b504,tortoise,0,simdrop
56,5c3630c83ce2c8000111b504,dolphin,1,simdrop
57,5c3630c83ce2c8000111b504,porpoise,0,simdrop
58,5c3630c83ce2c8000111b504,killer_whale,1,simdrop
59,5c3630c83ce2c8000111b504,shark,0,simdrop
60,5c3630c83ce2c8000111b504,eel,1,simdrop
61,5c3630c83ce2c8000111b504,jellyfish,0,simdrop
62,5c3630c83ce2c8000111b504,starfish,0,simdrop
63,5c3630c83ce2c8000111b504,peacock,1,simdrop
64,5c3630c83ce2c8000111b504,macaw,0,simdrop
65,5c3630c83ce2c8000111b504,lizard,2,simdrop
66,63fba9e68d9ff349947fece5,cat,2,simdrop
67,63fba9e68d9ff349947fece5,horse,0,simdrop
68,63fba9e68d9ff349947fece5,sheep,0,simdrop
69,63fba9e68d9ff349947fece5,goat,0,simdrop
70,63fba9e68d9ff349947fece5,mule,1,simdrop
71,63fba9e68d9ff349947fece5,donkey,0,simdrop
72,63fba9e68d9ff349947fece5,cow,0,simdrop
73,63fba9e68d9ff349947fece5,bull,0,simdrop
74,63fba9e68d9ff349947fece5,snake,1,simdrop
75,63fba9e68d9ff349947fece5,spider,0,simdrop
76,63fba9e68d9ff349947fece5,crab,1,simdrop
77,63fba9e68d9ff349947fece5,walrus,0,simdrop
78,63fba9e68d9ff349947fece5,mongoose,0,simdrop
79,63fba9e68d9ff349947fece5,chicken,1,simdrop
80,63fba9e68d9ff349947fece5,rooster,2,simdrop
81,5efd12bb12f04114e442283c,monkey,2,simdrop
82,5efd12bb12f04114e442283c,dog,0,simdrop
83,5efd12bb12f04114e442283c,cat,0,simdrop
84,5efd12bb12f04114e442283c,goat,1,simdrop
85,5efd12bb12f04114e442283c,donkey,0,simdrop
86,5efd12bb12f04114e442283c,bear,1,simdrop
87,5efd12bb12f04114e442283c,tiger,0,simdrop
88,5efd12bb12f04114e442283c,lion,0,simdrop
89,5efd12bb12f04114e442283c,raccoon,1,simdrop
90,5efd12bb12f04114e442283c,squirrel,0,simdrop
91,5efd12bb12f04114e442283c,giraffe,1,simdrop
92,5efd12bb12f04114e442283c,ape,0,simdrop
93,5efd12bb12f04114e442283c,chimpanzee,0,simdrop
94,5efd12bb12f04114e442283c,buffalo,1,simdrop
95,5efd12bb12f04114e442283c,cow,0,simdrop
96,5efd12bb12f04114e442283c,horse,0,simdrop
97,5efd12bb12f04114e442283c,zebra,0,simdrop
98,5efd12bb12f04114e442283c,gazelle,1,simdrop
99,5efd12bb12f04114e442283c,rhinoceros,0,simdrop
100,5efd12bb12f04114e442283c,seal,2,simdrop
101,5bd8fabf544d4f000141d94d,cow,2,simdrop
102,5bd8fabf544d4f000141d94d,horse,0,simdrop
103,5bd8fabf544d4f000141d94d,goat,1,simdrop
104,5bd8fabf544d4f000141d94d,sheep,0,simdrop
105,5bd8fabf544d4f000141d94d,otter,1,simdrop
106,5bd8fabf544d4f000141d94d,badger,0,simdrop
107,5bd8fabf544d4f000141d94d,chipmunk,0,simdrop
108,5bd8fabf544d4f000141d94d,rat,1,simdrop
109,5bd8fabf544d4f000141d94d,cat,0,simdrop
110,5bd8fabf544d4f000141d94d,dog,0,simdrop
111,5bd8fabf544d4f000141d94d,giraffe,1,simdrop
112,5bd8fabf544d4f000141d94d,monkey,0,simdrop
113,5bd8fabf544d4f000141d94d,lion,1,simdrop
114,5bd8fabf544d4f000141d94d,tiger,0,simdrop
115,5bd8fabf544d4f000141d94d,anteater,0,simdrop
116,5bd8fabf544d4f000141d94d,sloth,0,simdrop
117,5bd8fabf544d4f000141d94d,wolf,1,simdrop
118,5bd8fabf544d4f000141d94d,fox,2,simdrop
119,63b9ff9f64549294f0abe3c1,bear,2,simdrop
120,63b9ff9f64549294f0abe3c1,bat,0,simdrop
121,63b9ff9f64549294f0abe3c1,cat,0,simdrop
122,63b9ff9f64549294f0abe3c1,dog,0,simdrop
123,63b9ff9f64549294f0abe3c1,pig,1,simdrop
124,63b9ff9f64549294f0abe3c1,chicken,0,simdrop
125,63b9ff9f64549294f0abe3c1,guinea_pig,0,simdrop
126,63b9ff9f64549294f0abe3c1,weasel,1,simdrop
127,63b9ff9f64549294f0abe3c1,moose,0,simdrop
128,63b9ff9f64549294f0abe3c1,antelope,0,simdrop
129,63b9ff9f64549294f0abe3c1,anteater,1,simdrop
130,63b9ff9f64549294f0abe3c1,elephant,0,simdrop
131,63b9ff9f64549294f0abe3c1,horse,1,simdrop
132,63b9ff9f64549294f0abe3c1,goat,0,simdrop
133,63b9ff9f64549294f0abe3c1,rooster,0,simdrop
134,63b9ff9f64549294f0abe3c1,skunk,0,simdrop
135,63b9ff9f64549294f0abe3c1,zebra,1,simdrop
136,63b9ff9f64549294f0abe3c1,jaguar,0,simdrop
137,63b9ff9f64549294f0abe3c1,panther,0,simdrop
138,63b9ff9f64549294f0abe3c1,tiger,0,simdrop
139,63b9ff9f64549294f0abe3c1,lion,2,simdrop
140,614f297777d0d8f5e2a5b354,boar,2,simdrop
141,614f297777d0d8f5e2a5b354,zebra,0,simdrop
142,614f297777d0d8f5e2a5b354,lion,1,simdrop
143,614f297777d0d8f5e2a5b354,giraffe,0,simdrop
144,614f297777d0d8f5e2a5b354,bear,1,simdrop
145,614f297777d0d8f5e2a5b354,dog,0,simdrop
146,614f297777d0d8f5e2a5b354,cat,0,simdrop
147,614f297777d0d8f5e2a5b354,wolf,1,simdrop
148,614f297777d0d8f5e2a5b354,bobcat,0,simdrop
149,614f297777d0d8f5e2a5b354,mountain_lion,0,simdrop
150,614f297777d0d8f5e2a5b354,horse,1,simdrop
151,614f297777d0d8f5e2a5b354,mule,0,simdrop
152,614f297777d0d8f5e2a5b354,pig,1,simdrop
153,614f297777d0d8f5e2a5b354,deer,0,simdrop
154,614f297777d0d8f5e2a5b354,moose,0,simdrop
155,614f297777d0d8f5e2a5b354,squirrel,0,simdrop
156,614f297777d0d8f5e2a5b354,woodchuck,2,simdrop
157,6056962634a5230dacdb63fc,shark,2,simdrop
158,6056962634a5230dacdb63fc,manta_ray,0,simdrop
159,6056962634a5230dacdb63fc,crab,1,simdrop
160,6056962634a5230dacdb63fc,lobster,0,simdrop
161,6056962634a5230dacdb63fc,snail,1,simdrop
162,6056962634a5230dacdb63fc,coral,0,simdrop
163,6056962634a5230dacdb63fc,cat,1,simdrop
164,6056962634a5230dacdb63fc,dog,0,simdrop
165,6056962634a5230dacdb63fc,pig,1,simdrop
166,6056962634a5230dacdb63fc,cow,0,simdrop
167,6056962634a5230dacdb63fc,snake,1,simdrop
168,6056962634a5230dacdb63fc,scorpion,0,simdrop
169,6056962634a5230dacdb63fc,beetle,0,simdrop
170,6056962634a5230dacdb63fc,armadillo,1,simdrop
171,6056962634a5230dacdb63fc,panther,0,simdrop
172,6056962634a5230dacdb63fc,tiger,0,simdrop
173,6056962634a5230dacdb63fc,lion,0,simdrop
174,6056962634a5230dacdb63fc,giraffe,1,simdrop
175,6056962634a5230dacdb63fc,elephant,0,simdrop
176,6056962634a5230dacdb63fc,manatee,1,simdrop
177,6056962634a5230dacdb63fc,jellyfish,0,simdrop
178,6056962634a5230dacdb63fc,bear,1,simdrop
179,6056962634a5230dacdb63fc,wolf,0,simdrop
180,6056962634a5230dacdb63fc,buffalo,0,simdrop
181,6056962634a5230dacdb63fc,polar_bear,1,simdrop
182,6056962634a5230dacdb63fc,monkey,0,simdrop
183,6056962634a5230dacdb63fc,gorilla,2,simdrop
184,640e4ddaf9f67c6c8ea4936b,dog,2,simdrop
185,640e4ddaf9f67c6c8ea4936b,duck,0,simdrop
186,640e4ddaf9f67c6c8ea4936b,bear,0,simdrop
187,640e4ddaf9f67c6c8ea4936b,horse,1,simdrop
188,640e4ddaf9f67c6c8ea4936b,goat,0,simdrop
189,640e4ddaf9f67c6c8ea4936b,cat,0,simdrop
190,640e4ddaf9f67c6c8ea4936b,ram,1,simdrop
191,640e4ddaf9f67c6c8ea4936b,bull,0,simdrop
192,640e4ddaf9f67c6c8ea4936b,platypus,1,simdrop
193,640e4ddaf9f67c6c8ea4936b,cheetah,0,simdrop
194,640e4ddaf9f67c6c8ea4936b,lion,0,simdrop
195,640e4ddaf9f67c6c8ea4936b,tiger,2,simdrop
196,606609111ba10f35596db018,dog,2,simdrop
197,606609111ba10f35596db018,cat,0,simdrop
198,606609111ba10f35596db018,lion,1,simdrop
199,606609111ba10f35596db018,elephant,0,simdrop
200,606609111ba10f35596db018,raccoon,1,simdrop
201,606609111ba10f35596db018,gerbil,0,simdrop
202,606609111ba10f35596db018,guinea_pig,0,simdrop
203,606609111ba10f35596db018,giraffe,1,simdrop
204,606609111ba10f35596db018,mountain_lion,0,simdrop
205,606609111ba10f35596db018,bear,0,simdrop
206,606609111ba10f35596db018,horse,1,simdrop
207,606609111ba10f35596db018,cow,0,simdrop
208,606609111ba10f35596db018,buffalo,0,simdrop
209,606609111ba10f35596db018,opossum,1,simdrop
210,606609111ba10f35596db018,groundhog,0,simdrop
211,606609111ba10f35596db018,beaver,1,simdrop
212,606609111ba10f35596db018,woodchuck,0,simdrop
213,606609111ba10f35596db018,mouse,0,simdrop
214,606609111ba10f35596db018,elk,1,simdrop
215,606609111ba10f35596db018,moose,0,simdrop
216,606609111ba10f35596db018,ram,1,simdrop
217,606609111ba10f35596db018,donkey,2,simdrop
218,5e2d96d3bc554937d1b3917a,cat,2,simdrop
219,5e2d96d3bc554937d1b3917a,dog,0,simdrop
220,5e2d96d3bc554937d1b3917a,parrot,0,simdrop
221,5e2d96d3bc554937d1b3917a,bull,1,simdrop
222,5e2d96d3bc554937d1b3917a,cow,0,simdrop
223,5e2d96d3bc554937d1b3917a,sheep,0,simdrop
224,5e2d96d3bc554937d1b3917a,goat,0,simdrop
225,5e2d96d3bc554937d1b3917a,giraffe,0,simdrop
226,5e2d96d3bc554937d1b3917a,tiger,1,simdrop
227,5e2d96d3bc554937d1b3917a,lion,0,simdrop
228,5e2d96d3bc554937d1b3917a,leopard,1,simdrop
229,5e2d96d3bc554937d1b3917a,rhinoceros,0,simdrop
230,5e2d96d3bc554937d1b3917a,squirrel,1,simdrop
231,5e2d96d3bc554937d1b3917a,rat,0,simdrop
232,5e2d96d3bc554937d1b3917a,raccoon,1,simdrop
233,5e2d96d3bc554937d1b3917a,beaver,0,simdrop
234,5e2d96d3bc554937d1b3917a,bear,0,simdrop
235,5e2d96d3bc554937d1b3917a,panther,0,simdrop
236,5e2d96d3bc554937d1b3917a,aardvark,1,simdrop
237,5e2d96d3bc554937d1b3917a,anteater,0,simdrop
238,5e2d96d3bc554937d1b3917a,gazelle,1,simdrop
239,5e2d96d3bc554937d1b3917a,hippopotamus,2,simdrop
240,58b2338a898c2e0001a5ca56,puma,2,simdrop
241,58b2338a898c2e0001a5ca56,mountain_lion,0,simdrop
242,58b2338a898c2e0001a5ca56,mouse,1,simdrop
243,58b2338a898c2e0001a5ca56,snake,0,simdrop
244,58b2338a898c2e0001a5ca56,turtle,0,simdrop
245,58b2338a898c2e0001a5ca56,horse,0,simdrop
246,58b2338a898c2e0001a5ca56,muskrat,1,simdrop
247,58b2338a898c2e0001a5ca56,dog,0,simdrop
248,58b2338a898c2e0001a5ca56,bird,0,simdrop
249,58b2338a898c2e0001a5ca56,red_tailed_hawk,0,simdrop
250,58b2338a898c2e0001a5ca56,owl,1,simdrop
251,58b2338a898c2e0001a5ca56,coyote,0,simdrop
252,58b2338a898c2e0001a5ca56,wolf,0,simdrop
253,58b2338a898c2e0001a5ca56,pig,0,simdrop
254,58b2338a898c2e0001a5ca56,mole,0,simdrop
255,58b2338a898c2e0001a5ca56,otter,1,simdrop
256,58b2338a898c2e0001a5ca56,peccary,0,simdrop
257,58b2338a898c2e0001a5ca56,boar,1,simdrop
258,58b2338a898c2e0001a5ca56,cougar,2,simdrop
259,5ba176b4f7e29100014449e2,raccoon,2,simdrop
260,5ba176b4f7e29100014449e2,sloth,0,simdrop
261,5ba176b4f7e29100014449e2,cat,0,simdrop
262,5ba176b4f7e29100014449e2,dog,0,simdrop
263,5ba176b4f7e29100014449e2,hamster,1,simdrop
264,5ba176b4f7e29100014449e2,guinea_pig,0,simdrop
265,5ba176b4f7e29100014449e2,coyote,1,simdrop
266,5ba176b4f7e29100014449e2,deer,0,simdrop
267,5ba176b4f7e29100014449e2,elk,0,simdrop
268,5ba176b4f7e29100014449e2,moose,0,simdrop
269,5ba176b4f7e29100014449e2,snake,1,simdrop
270,5ba176b4f7e29100014449e2,turtle,0,simdrop
271,5ba176b4f7e29100014449e2,frog,0,simdrop
272,5ba176b4f7e29100014449e2,bird,0,simdrop
273,5ba176b4f7e29100014449e2,bobcat,0,simdrop
274,5ba176b4f7e29100014449e2,tiger,0,simdrop
275,5ba176b4f7e29100014449e2,zebra,1,simdrop
276,5ba176b4f7e29100014449e2,hippopotamus,0,simdrop
277,5ba176b4f7e29100014449e2,elephant,0,simdrop
278,5ba176b4f7e29100014449e2,pig,0,simdrop
279,5ba176b4f7e29100014449e2,warthog,1,simdrop
280,5ba176b4f7e29100014449e2,panther,0,simdrop
281,5ba176b4f7e29100014449e2,lynx,0,simdrop
282,5ba176b4f7e29100014449e2,giraffe,0,simdrop
283,5ba176b4f7e29100014449e2,ferret,1,simdrop
284,5ba176b4f7e29100014449e2,goat,0,simdrop
285,5ba176b4f7e29100014449e2,sheep,0,simdrop
286,5ba176b4f7e29100014449e2,cow,2,simdrop
287,5b342c9da2982a0001dd9f25,dog,2,simdrop
288,5b342c9da2982a0001dd9f25,cat,0,simdrop
289,5b342c9da2982a0001dd9f25,parrot,0,simdrop
290,5b342c9da2982a0001dd9f25,cheetah,1,simdrop
291,5b342c9da2982a0001dd9f25,cockatiel,0,simdrop
292,5b342c9da2982a0001dd9f25,dolphin,1,simdrop
293,5b342c9da2982a0001dd9f25,shark,0,simdrop
294,5b342c9da2982a0001dd9f25,orca,0,simdrop
295,5b342c9da2982a0001dd9f25,giraffe,1,simdrop
296,5b342c9da2982a0001dd9f25,lion,0,simdrop
297,5b342c9da2982a0001dd9f25,tiger,0,simdrop
298,5b342c9da2982a0001dd9f25,elk,0,simdrop
299,5b342c9da2982a0001dd9f25,wombat,1,simdrop
300,5b342c9da2982a0001dd9f25,groundhog,0,simdrop
301,5b342c9da2982a0001dd9f25,raccoon,0,simdrop
302,5b342c9da2982a0001dd9f25,opossum,0,simdrop
303,5b342c9da2982a0001dd9f25,deer,1,simdrop
304,5b342c9da2982a0001dd9f25,coyote,0,simdrop
305,5b342c9da2982a0001dd9f25,hawk,0,simdrop
306,5b342c9da2982a0001dd9f25,eagle,1,simdrop
307,5b342c9da2982a0001dd9f25,crow,2,simdrop
308,6081ca47eeed1bb51c1d7f7b,tiger,2,simdrop
309,6081ca47eeed1bb51c1d7f7b,leopard,0,simdrop
310,6081ca47eeed1bb51c1d7f7b,elephant,0,simdrop
311,6081ca47eeed1bb51c1d7f7b,boar,1,simdrop
312,6081ca47eeed1bb51c1d7f7b,snake,0,simdrop
313,6081ca47eeed1bb51c1d7f7b,groundhog,1,simdrop
