,Subject,Fluency_Item,NLL_forage_dynamic_simdrop,NLL_forage_random_baseline,Semantic_Similarity,Frequency_Value,Phonological_Similarity
0,606734f4935218ab9f94703c,dog,4.5750082900303415,7.4770384723196965,0.0001,7.256114028,0.0001
1,606734f4935218ab9f94703c,cat,2.5295657479813167,7.4770384723196965,0.76099,7.013143358,0.0001
2,606734f4935218ab9f94703c,rabbit,3.942351091766724,7.4770384723196965,0.62613,6.568628649,0.4
3,606734f4935218ab9f94703c,chicken,4.780145925110563,7.4770384723196965,0.46703,6.827585591,0.2
4,606734f4935218ab9f94703c,hawk,6.545666470275464,7.4770384723196965,0.28142,6.384581525,0.2
5,606734f4935218ab9f94703c,eagle,5.5958724980928345,7.4770384723196965,0.26322,6.640854253,0.0001
6,606734f4935218ab9f94703c,bear,4.437371249744424,7.4770384723196965,0.19876,7.366226929,0.0001
7,606734f4935218ab9f94703c,lion,4.360237534470813,7.4770384723196965,0.44655,6.723957079,0.0001
8,606734f4935218ab9f94703c,pig,5.425140697634193,7.4770384723196965,0.37749,6.611542969,0.0001
9,606734f4935218ab9f94703c,cow,3.357107589029637,7.4770384723196965,0.6575,6.679047222,0.0001
10,606734f4935218ab9f94703c,mule,5.90396840407214,7.4770384723196965,0.39867,6.274039557,0.0001
11,606734f4935218ab9f94703c,horse,2.1407513798337754,7.4770384723196965,0.5246,7.396710537,0.0001
12,606734f4935218ab9f94703c,donkey,4.677768458323927,7.4770384723196965,0.57376,6.018421695,0.0001
13,606734f4935218ab9f94703c,goat,3.5707092579488586,7.4770384723196965,0.60131,6.365838461,0.0001
14,606734f4935218ab9f94703c,sheep,2.9944808649288555,7.4770384723196965,0.64594,6.924172871,0.0001
15,606734f4935218ab9f94703c,elephant,5.774353907593752,7.4770384723196965,0.3499,6.363660295,0.0001
16,606734f4935218ab9f94703c,zebra,5.577786336260787,7.4770384723196965,0.52817,5.561689192,0.1429
17,606734f4935218ab9f94703c,impala,6.656795340546816,7.4770384723196965,0.52214,4.829220123,0.1667
18,606734f4935218ab9f94703c,cougar,7.422999080047407,7.4770384723196965,0.426,5.313217401,0.0001
19,606734f4935218ab9f94703c,giraffe,6.7600304175920805,7.4770384723196965,0.43225,5.372025949,0.0001
20,606734f4935218ab9f94703c,hippopotamus,5.2540391644451265,7.4770384723196965,0.6439,5.258390618,0.0001
21,606734f4935218ab9f94703c,rhinoceros,5.298799085132107,7.4770384723196965,0.54239,5.506841784,0.2727
22,5ef11fdda0736031899eb5dc,dog,4.391575601548749,7.4770384723196965,0.0001,7.256114028,0.0001
23,5ef11fdda0736031899eb5dc,cat,2.420134394826274,7.4770384723196965,0.76099,7.013143358,0.0001
24,5ef11fdda0736031899eb5dc,bird,3.8817252627039593,7.4770384723196965,0.51471,7.119400245,0.0001
25,5ef11fdda0736031899eb5dc,snake,5.0536241935033095,7.4770384723196965,0.47913,6.615078486,0.0001
26,5ef11fdda0736031899eb5dc,cow,5.256663963118938,7.4770384723196965,0.36864,6.679047222,0.0001
27,5ef11fdda0736031899eb5dc,horse,3.1810368109942955,7.4770384723196965,0.49454,7.396710537,0.0001
28,5ef11fdda0736031899eb5dc,elephant,5.76162577994485,7.4770384723196965,0.39665,6.363660295,0.0001
29,5ef11fdda0736031899eb5dc,tiger,3.296791098284026,7.4770384723196965,0.6684,6.38952206,0.0001
30,5ef11fdda0736031899eb5dc,camel,6.1639859965055654,7.4770384723196965,0.314,6.123051541,0.0001
31,5ef11fdda0736031899eb5dc,giraffe,5.891478624323318,7.4770384723196965,0.46761,5.372025949,0.0001
32,5ef11fdda0736031899eb5dc,bear,4.23434848633176,7.4770384723196965,0.30209,7.366226929,0.0001
33,5ef11fdda0736031899eb5dc,raccoon,7.241589999076558,7.4770384723196965,0.38629,5.500824927,0.0001
34,5ef11fdda0736031899eb5dc,squirrel,3.953019664997918,7.4770384723196965,0.6653,6.080840335,0.0001
35,5ef11fdda0736031899eb5dc,turtle,5.983628539452029,7.4770384723196965,0.48107,6.229758099,0.3333
36,5ef11fdda0736031899eb5dc,fish,2.9901626528182503,7.4770384723196965,0.54237,7.344814258,0.0001
37,5ef11fdda0736031899eb5dc,beaver,5.911097128077073,7.4770384723196965,0.38122,6.273193014,0.0001
38,5ef11fdda0736031899eb5dc,chipmunk,6.600166243106676,7.4770384723196965,0.51653,5.149619342,0.0001
39,5ef11fdda0736031899eb5dc,moose,6.414690473040061,7.4770384723196965,0.43615,5.977754233,0.1429
40,5ef11fdda0736031899eb5dc,deer,2.486510363762449,7.4770384723196965,0.75854,6.706983738,0.0001
41,5c3630c83ce2c8000111b504,giraffe,7.107528465188733,7.4770384723196965,0.0001,5.372025949,0.0001
42,5c3630c83ce2c8000111b504,elephant,3.8256908180617137,7.4770384723196965,0.59337,6.363660295,0.1429
43,5c3630c83ce2c8000111b504,lion,4.119187113479946,7.4770384723196965,0.51286,6.723957079,0.4286
44,5c3630c83ce2c8000111b504,cat,5.172530780310424,7.4770384723196965,0.40046,7.013143358,0.0001
45,5c3630c83ce2c8000111b504,dog,2.4029750056730763,7.4770384723196965,0.76099,7.256114028,0.0001
46,5c3630c83ce2c8000111b504,parrot,6.401149253121936,7.4770384723196965,0.44814,5.921096266,0.0001
47,5c3630c83ce2c8000111b504,turtle,4.84253217380979,7.4770384723196965,0.48848,6.229758099,0.2
48,5c3630c83ce2c8000111b504,rhinoceros,6.927616165429467,7.4770384723196965,0.37814,5.506841784,0.125
49,5c3630c83ce2c8000111b504,hippopotamus,5.334835231737206,7.4770384723196965,0.54239,5.258390618,0.2727
50,5c3630c83ce2c8000111b504,zebra,4.830513577636383,7.4770384723196965,0.56525,5.561689192,0.0909
51,5c3630c83ce2c8000111b504,horse,4.786016204383536,7.4770384723196965,0.42613,7.396710537,0.2
52,5c3630c83ce2c8000111b504,cow,4.446918603123627,7.4770384723196965,0.49454,6.679047222,0.0001
53,5c3630c83ce2c8000111b504,goat,3.621540122576706,7.4770384723196965,0.63485,6.365838461,0.0001
54,5c3630c83ce2c8000111b504,snake,5.596680930163527,7.4770384723196965,0.45669,6.615078486,0.0001
55,5c3630c83ce2c8000111b504,tortoise,5.496274833787477,7.4770384723196965,0.51601,5.793371249,0.0001
56,5c3630c83ce2c8000111b504,dolphin,6.47043863614828,7.4770384723196965,0.41721,5.864843201,0.1667
57,5c3630c83ce2c8000111b504,whale,2.852685925806806,7.4770384723196965,0.77251,6.338615042,0.1667
58,5c3630c83ce2c8000111b504,lizard,5.705620325881203,7.4770384723196965,0.45783,5.89522027,0.0001
59,5c3630c83ce2c8000111b504,mouse,5.421312676009255,7.4770384723196965,0.35503,6.776846046,0.0001
60,5c3630c83ce2c8000111b504,rat,3.7422720428369027,7.4770384723196965,0.47078,6.766463413,0.0001
61,5c3630c83ce2c8000111b504,raccoon,5.905747714484086,7.4770384723196965,0.47161,5.500824927,0.2
62,5c3630c83ce2c8000111b504,otter,5.448225511127749,7.4770384723196965,0.49237,5.857683409,0.0001
63,5c3630c83ce2c8000111b504,possum,6.014687689339714,7.4770384723196965,0.53482,5.440409986,0.2
64,5c3630c83ce2c8000111b504,mole,6.824569877675304,7.4770384723196965,0.3171,6.347595976,0.0001
65,5c3630c83ce2c8000111b504,meerkat,9.596615653469064,7.4770384723196965,0.25397,3.812512284,0.1667
66,5c3630c83ce2c8000111b504,peacock,5.915755798073454,7.4770384723196965,0.34396,6.002633379,0.3333
67,5c3630c83ce2c8000111b504,parakeet,6.858682604360233,7.4770384723196965,0.43168,4.868873573,0.2857
68,5c3630c83ce2c8000111b504,pufferfish,9.634488257800333,7.4770384723196965,0.27195,3.792671789,0.1429
69,5c3630c83ce2c8000111b504,goldfish,5.747303142203502,7.4770384723196965,0.40883,5.475262847,0.2857
70,63fba9e68d9ff349947fece5,zebra,7.0024903568095915,7.4770384723196965,0.0001,5.561689192,0.0001
71,63fba9e68d9ff349947fece5,elephant,4.175852637560956,7.4770384723196965,0.52817,6.363660295,0.1429
72,63fba9e68d9ff349947fece5,giraffe,5.520777358209453,7.4770384723196965,0.59337,5.372025949,0.1429
73,63fba9e68d9ff349947fece5,dog,4.579231695998158,7.4770384723196965,0.3927,7.256114028,0.0001
74,63fba9e68d9ff349947fece5,fox,4.108952275701246,7.4770384723196965,0.52824,6.849727181,0.0001
75,63fba9e68d9ff349947fece5,coyote,4.8218332579043155,7.4770384723196965,0.61487,6.007340169,0.0001
76,63fba9e68d9ff349947fece5,bear,4.003097066121147,7.4770384723196965,0.43868,7.366226929,0.0001
77,63fba9e68d9ff349947fece5,deer,5.296298476404958,7.4770384723196965,0.40814,6.706983738,0.3333
78,63fba9e68d9ff349947fece5,raccoon,5.912725844391328,7.4770384723196965,0.53697,5.500824927,0.0001
79,63fba9e68d9ff349947fece5,mouse,5.201875977965828,7.4770384723196965,0.28272,6.776846046,0.0001
80,63fba9e68d9ff349947fece5,rat,3.4356534262632397,7.4770384723196965,0.47078,6.766463413,0.0001
81,63fba9e68d9ff349947fece5,wildebeest,9.14710469886884,7.4770384723196965,0.29537,4.704776617,0.1818
82,5efd12bb12f04114e442283c,cat,4.705495477239259,7.4770384723196965,0.0001,7.013143358,0.0001
83,5efd12bb12f04114e442283c,dog,2.186903357850042,7.4770384723196965,0.76099,7.256114028,0.0001
84,5efd12bb12f04114e442283c,raccoon,7.361861932973771,7.4770384723196965,0.54106,5.500824927,0.0001
85,5efd12bb12f04114e442283c,squirrel,4.20144096840323,7.4770384723196965,0.6653,6.080840335,0.0001
86,5efd12bb12f04114e442283c,lion,5.166026405836532,7.4770384723196965,0.41495,6.723957079,0.1667
87,5efd12bb12f04114e442283c,bear,2.959374407403892,7.4770384723196965,0.44655,7.366226929,0.0001
88,5efd12bb12f04114e442283c,bird,4.541036735437586,7.4770384723196965,0.35084,7.119400245,0.3333
89,5efd12bb12f04114e442283c,zebra,7.5100562157734165,7.4770384723196965,0.39304,5.561689192,0.2
90,5efd12bb12f04114e442283c,horse,3.2160973056534714,7.4770384723196965,0.42613,7.396710537,0.2
91,5efd12bb12f04114e442283c,cow,4.250145994793404,7.4770384723196965,0.49454,6.679047222,0.0001
92,5efd12bb12f04114e442283c,goat,3.8406473330721562,7.4770384723196965,0.63485,6.365838461,0.0001
93,5efd12bb12f04114e442283c,donkey,4.747458544236696,7.4770384723196965,0.60131,6.018421695,0.0001
94,5efd12bb12f04114e442283c,bull,4.798937365096154,7.4770384723196965,0.41466,6.953478541,0.0001
95,5efd12bb12f04114e442283c,buffalo,3.932848692249609,7.4770384723196965,0.45141,6.710471006,0.3333
96,5efd12bb12f04114e442283c,monkey,5.4875930579192245,7.4770384723196965,0.38359,6.401926546,0.1667
97,5efd12bb12f04114e442283c,ferret,7.301022542993861,7.4770384723196965,0.27421,5.531510849,0.0001
98,5efd12bb12f04114e442283c,tiger,4.823522513204539,7.4770384723196965,0.30158,6.38952206,0.0001
99,5bd8fabf544d4f000141d94d,dog,4.563260925296923,7.4770384723196965,0.0001,7.256114028,0.0001
100,5bd8fabf544d4f000141d94d,cat,2.6678005473810202,7.4770384723196965,0.76099,7.013143358,0.0001
101,5bd8fabf544d4f000141d94d,mouse,4.689368899130551,7.4770384723196965,0.46668,6.776846046,0.0001
102,5bd8fabf544d4f000141d94d,lion,5.2649966609633685,7.4770384723196965,0.21819,6.723957079,0.0001
103,5bd8fabf544d4f000141d94d,tiger,4.0261743293187955,7.4770384723196965,0.5148,6.38952206,0.25
104,5bd8fabf544d4f000141d94d,ocelot,8.811056355004988,7.4770384723196965,0.35322,4.575799584,0.0001
105,5bd8fabf544d4f000141d94d,giraffe,6.257577203266797,7.4770384723196965,0.38019,5.372025949,0.0001
106,5bd8fabf544d4f000141d94d,anteater,7.1663543293736645,7.4770384723196965,0.54809,4.649130322,0.0001
107,5bd8fabf544d4f000141d94d,fox,4.428438238907418,7.4770384723196965,0.42025,6.849727181,0.0001
108,5bd8fabf544d4f000141d94d,horse,4.386453760576805,7.4770384723196965,0.33049,7.396710537,0.25
109,5bd8fabf544d4f000141d94d,cow,4.167382201270839,7.4770384723196965,0.49454,6.679047222,0.0001
110,5bd8fabf544d4f000141d94d,fish,5.312364849266447,7.4770384723196965,0.27188,7.344814258,0.0001
111,5bd8fabf544d4f000141d94d,monkey,5.717153396224912,7.4770384723196965,0.22166,6.401926546,0.0001
112,5bd8fabf544d4f000141d94d,badger,6.747681936654815,7.4770384723196965,0.34912,5.803131956,0.0001
113,5bd8fabf544d4f000141d94d,chipmunk,6.405465209451862,7.4770384723196965,0.47333,5.149619342,0.0001
114,63b9ff9f64549294f0abe3c1,bear,4.173029202079563,7.4770384723196965,0.0001,7.366226929,0.0001
115,63b9ff9f64549294f0abe3c1,walrus,7.522319713816066,7.4770384723196965,0.29896,5.417803723,0.1667
116,63b9ff9f64549294f0abe3c1,seal,5.169746875080121,7.4770384723196965,0.2684,6.788763103,0.1667
117,63b9ff9f64549294f0abe3c1,deer,5.194911179308609,7.4770384723196965,0.14441,6.706983738,0.0001
118,63b9ff9f64549294f0abe3c1,antelope,5.112873647688925,7.4770384723196965,0.63499,5.845170623,0.0001
119,63b9ff9f64549294f0abe3c1,tapir,8.508466759320317,7.4770384723196965,0.46449,4.948750293,0.0001
120,63b9ff9f64549294f0abe3c1,elephant,4.536391976049468,7.4770384723196965,0.52097,6.363660295,0.0001
121,63b9ff9f64549294f0abe3c1,cat,4.708400715985152,7.4770384723196965,0.46387,7.013143358,0.1429
122,63b9ff9f64549294f0abe3c1,dog,2.498054897024202,7.4770384723196965,0.76099,7.256114028,0.0001
123,63b9ff9f64549294f0abe3c1,fish,4.204758323647888,7.4770384723196965,0.23458,7.344814258,0.0001
124,63b9ff9f64549294f0abe3c1,moose,5.905749505617402,7.4770384723196965,0.44905,5.977754233,0.0001
125,63b9ff9f64549294f0abe3c1,rhinoceros,7.343804387686849,7.4770384723196965,0.39641,5.506841784,0.125
126,63b9ff9f64549294f0abe3c1,monkey,4.549395752059941,7.4770384723196965,0.46868,6.401926546,0.0001
127,63b9ff9f64549294f0abe3c1,penguin,4.99664864970457,7.4770384723196965,0.49619,6.25042049,0.1429
128,63b9ff9f64549294f0abe3c1,bird,3.5681725158054136,7.4770384723196965,0.4414,7.119400245,0.0001
129,63b9ff9f64549294f0abe3c1,fawn,6.849404516258966,7.4770384723196965,0.40719,5.733247034,0.0001
130,63b9ff9f64549294f0abe3c1,goat,5.763893706699661,7.4770384723196965,0.39074,6.365838461,0.0001
