"prolific_id"	"items"
"606734f4935218ab9f94703c"	"dog"
"606734f4935218ab9f94703c"	"cat"
"606734f4935218ab9f94703c"	"zebra"
"606734f4935218ab9f94703c"	"horse"
"606734f4935218ab9f94703c"	"goat"
"606734f4935218ab9f94703c"	"cow"
"606734f4935218ab9f94703c"	"mule"
"606734f4935218ab9f94703c"	"donkey"
"606734f4935218ab9f94703c"	"cheetah"
"606734f4935218ab9f94703c"	"giraffe"
"606734f4935218ab9f94703c"	"sheep"
"606734f4935218ab9f94703c"	"elephant"
"606734f4935218ab9f94703c"	"rhinoceros"
"606734f4935218ab9f94703c"	"hippopotamus"
"606734f4935218ab9f94703c"	"eagle"
"606734f4935218ab9f94703c"	"chicken"
"606734f4935218ab9f94703c"	"hawk"
"606734f4935218ab9f94703c"	"opossum"
"606734f4935218ab9f94703c"	"skunk"
"606734f4935218ab9f94703c"	"armadillo"
"606734f4935218ab9f94703c"	"rat"
"606734f4935218ab9f94703c"	"monkey"
"5ef11fdda0736031899eb5dc"	"cow"
"5ef11fdda0736031899eb5dc"	"cat"
"5ef11fdda0736031899eb5dc"	"dog"
"5ef11fdda0736031899eb5dc"	"bird"
"5ef11fdda0736031899eb5dc"	"otter"
"5ef11fdda0736031899eb5dc"	"alligator"
"5ef11fdda0736031899eb5dc"	"crocodile"
"5ef11fdda0736031899eb5dc"	"pig"
"5ef11fdda0736031899eb5dc"	"buffalo"
"5ef11fdda0736031899eb5dc"	"elk"
"5ef11fdda0736031899eb5dc"	"possum"
"5ef11fdda0736031899eb5dc"	"porcupine"
"5ef11fdda0736031899eb5dc"	"kangaroo"
"5ef11fdda0736031899eb5dc"	"bat"
"5c3630c83ce2c8000111b504"	"lion"
"5c3630c83ce2c8000111b504"	"tiger"
"5c3630c83ce2c8000111b504"	"panther"
"5c3630c83ce2c8000111b504"	"leopard"
"5c3630c83ce2c8000111b504"	"gnu"
"5c3630c83ce2c8000111b504"	"antelope"
"5c3630c83ce2c8000111b504"	"elephant"
"5c3630c83ce2c8000111b504"	"ape"
"5c3630c83ce2c8000111b504"	"monkey"
"5c3630c83ce2c8000111b504"	"orangutan"
"5c3630c83ce2c8000111b504"	"cat"
"5c3630c83ce2c8000111b504"	"dog"
"5c3630c83ce2c8000111b504"	"parrot"
"5c3630c83ce2c8000111b504"	"rabbit"
"5c3630c83ce2c8000111b504"	"mole"
"5c3630c83ce2c8000111b504"	"vole"
"5c3630c83ce2c8000111b504"	"rhinoceros"
"5c3630c83ce2c8000111b504"	"snake"
"5c3630c83ce2c8000111b504"	"turtle"
"5c3630c83ce2c8000111b504"	"tortoise"
"5c3630c83ce2c8000111b504"	"dolphin"
"5c3630c83ce2c8000111b504"	"porpoise"
