jatos_id,prolific_id,condition,itemnum,items,times,firsttime,category,starttime,shortlist,rt,gender,genderText,ageText,didYouTry,understand,comments,listnum,age
345,606734f4935218ab9f94703c,Immediate,1,dog,1683755162667,1683755161972,Animals,1683755158413,0,4.254,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,2,cat,1683755163970,1683755163260,Animals,1683755158413,0,1.303,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,3,rabbit,1683755167843,1683755165539,Animals,1683755158413,0,3.873,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,4,chicken,1683755171354,1683755169779,Animals,1683755158413,0,3.511,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,5,hawk,1683755175026,1683755174113,Animals,1683755158413,0,3.672,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,6,eagle,1683755176988,1683755175987,Animals,1683755158413,0,1.962,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,7,bear,1683755178762,1683755177733,Animals,1683755158413,0,1.774,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,8,lion,1683755180803,1683755179948,Animals,1683755158413,0,2.041,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,9,pig,1683755185181,1683755184554,Animals,1683755158413,0,4.378,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,10,cow,1683755186499,1683755185659,Animals,1683755158413,0,1.318,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,11,mule,1683755188386,1683755187563,Animals,1683755158413,0,1.887,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,12,horse,1683755190154,1683755188874,Animals,1683755158413,0,1.768,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,13,donkey,1683755193050,1683755192051,Animals,1683755158413,0,2.896,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,14,goat,1683755196513,1683755195674,Animals,1683755158413,0,3.463,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,15,sheep,1683755198266,1683755196946,Animals,1683755158413,0,1.753,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,16,elephant,1683755204074,1683755202249,Animals,1683755158413,0,5.808,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,17,zebra,1683755205978,1683755204577,Animals,1683755158413,0,1.904,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,18,impala,1683755213466,1683755208952,Animals,1683755158413,0,7.488,M,,63,Y,Y,"",1,Old
345,606734f4935218ab9f94703c,Immediate,19,cougar,1683755216034,1683755215137,Animals,1683755158413,0,2.568,M,,63,Y,Y,"",1,Old
