"prolific_id"	"items"
"606734f4935218ab9f94703c"	"dog"
"606734f4935218ab9f94703c"	"cat"
"606734f4935218ab9f94703c"	"rabbit"
"606734f4935218ab9f94703c"	"chicken"
"606734f4935218ab9f94703c"	"hawk"
"606734f4935218ab9f94703c"	"eagle"
"606734f4935218ab9f94703c"	"bear"
"606734f4935218ab9f94703c"	"lion"
"606734f4935218ab9f94703c"	"pig"
"606734f4935218ab9f94703c"	"cow"
"606734f4935218ab9f94703c"	"mule"
"606734f4935218ab9f94703c"	"horse"
"606734f4935218ab9f94703c"	"donkey"
"606734f4935218ab9f94703c"	"goat"
"606734f4935218ab9f94703c"	"sheep"
"606734f4935218ab9f94703c"	"elephant"
"606734f4935218ab9f94703c"	"zebra"
"606734f4935218ab9f94703c"	"impala"
"606734f4935218ab9f94703c"	"cougar"
"606734f4935218ab9f94703c"	"giraffe"
"606734f4935218ab9f94703c"	"hippopotamus"
"606734f4935218ab9f94703c"	"rhinoceros"
"5ef11fdda0736031899eb5dc"	"dog"
"5ef11fdda0736031899eb5dc"	"cat"
"5ef11fdda0736031899eb5dc"	"bird"
"5ef11fdda0736031899eb5dc"	"snake"
"5ef11fdda0736031899eb5dc"	"cow"
"5ef11fdda0736031899eb5dc"	"horse"
"5ef11fdda0736031899eb5dc"	"elephant"
"5ef11fdda0736031899eb5dc"	"tiger"
"5ef11fdda0736031899eb5dc"	"camel"
"5ef11fdda0736031899eb5dc"	"giraffe"
"5ef11fdda0736031899eb5dc"	"bear"
"5ef11fdda0736031899eb5dc"	"raccoon"
"5ef11fdda0736031899eb5dc"	"squirrel"
"5ef11fdda0736031899eb5dc"	"turtle"
"5ef11fdda0736031899eb5dc"	"fish"
"5ef11fdda0736031899eb5dc"	"beaver"
"5ef11fdda0736031899eb5dc"	"chipmunk"
"5ef11fdda0736031899eb5dc"	"moose"
"5ef11fdda0736031899eb5dc"	"deer"
"5c3630c83ce2c8000111b504"	"giraffe"
"5c3630c83ce2c8000111b504"	"elephant"
"5c3630c83ce2c8000111b504"	"lion"
"5c3630c83ce2c8000111b504"	"cat"
"5c3630c83ce2c8000111b504"	"dog"
"5c3630c83ce2c8000111b504"	"parrot"
"5c3630c83ce2c8000111b504"	"turtle"
"5c3630c83ce2c8000111b504"	"rhinoceros"
"5c3630c83ce2c8000111b504"	"hippopotamus"
"5c3630c83ce2c8000111b504"	"zebra"
"5c3630c83ce2c8000111b504"	"horse"
"5c3630c83ce2c8000111b504"	"cow"
"5c3630c83ce2c8000111b504"	"goat"
"5c3630c83ce2c8000111b504"	"snake"
"5c3630c83ce2c8000111b504"	"tortoise"
"5c3630c83ce2c8000111b504"	"dolphin"
"5c3630c83ce2c8000111b504"	"whale"
