"","condition","prolific_id","jatos_id","gender","genderText","ageText","didYouTry","understand","comments"
"1","Immediate","60b0334a2e48ac0856f33161","660","M","","22","Y","Y"," "
"2","Immediate","63014447bcd5b69388099876","659","F","","18","Y","Y"," "
"3","Immediate","63312d50b69dc2a2122ed1c2","658","F","","21","Y","Y"," "
"4","Immediate","61019c7bfef4b6c8de7d5f55","657","F","","19","Y","Y"," "
"5","Immediate","611c0958e3975a30a658a3fe","656","F","","19","Y","Y"," "
"6","Immediate","6317afadedfd0a63eb5d0522","655","F","","62","Y","Y"," N/A"
"7","Immediate","5bb7716f0b651100015c927f","654","M","","23","Y","Y"," "
"8","Immediate","6413ba814d48703a89b5ee31","653","M","","19","Y","Y"," "
"9","Immediate","60ff78f6695b4e27b7eb17bb","652","F","","25","Y",NA," "
"10","Immediate","63d7ef26d68b635f0f481a6f","651","M","","24","Y","Y"," "
"11","Immediate","62b9e995fd8c321a2f65a6cd","650","F","","23","Y","Y"," "
"12","Immediate","61099a5c04f32c99f34ce2a8","649","F","","66","Y","Y"," "
"13","Immediate","5a94d24fb5e2110001c689b5","648","F","","62","Y","Y"," "
"14","Immediate","62fc22181e486f654fd3b139","647","F","","68","Y","Y"," "
"15","Immediate","57ac740478a38d00017cce22","646","F","","63","Y","Y"," "
"16","Immediate","5e753ccd65c9670a250a019b","643","F","","19","Y","Y"," "
"17","Immediate","6143e022ec8dfbce17b7e211","641","M","","68","Y","Y"," "
"18","Immediate","60c2694a69ce3ace422ef93a","640","F","","21","Y","Y"," "
"19","Immediate","6236fe0ee063333a3e1ba72a","639","F","","24","Y","Y"," "
"20","Immediate","5be781ca3b047e0001a39e47","637","F","","63","Y","Y"," "
"21","Immediate","63d3fbb2e822fa8e7bfe8511","636","F","","23","Y","Y"," "
"22","Immediate","5fc27b5a13285c0008cc71ab","635","F","","63","Y","Y"," "
"23","Immediate","63cb23389133d3f76db2336a","633","M","","18","Y","Y"," "
"24","Immediate","60e9fd8a2f52070be49cf317","631","M","","23","Y","Y"," "
"25","Immediate","5dd1919051c6d2208e27fbc1","630","F","","74","Y","Y"," "
"26","Immediate","5f850cd39e097f1f273a755d","629","M","","25","Y","Y"," "
"27","Immediate","5c38f43bb594c40001212d39","628","M","","74","Y","Y"," "
"28","Immediate","60fdd6619d528625b8d667e8","627","F","","24","Y","Y"," "
"29","Immediate","63d53c6bc368b9fa8d33f4cf","626","O","Non-Binary","20","Y","Y"," "
"30","Immediate","6320b3ef5b3c6405eea0f4ca","625","M","","22","Y","Y"," "
"31","Immediate","5f1215c24862ae13032bad4e","624","F","","24","Y","Y"," "
"32","Immediate","5c83394a3e93bf0001e143d6","623","F","","25","Y","Y"," "
"33","Immediate","5f63a1e5192b540bf182227d","622","F","","21","Y","Y"," "
"34","Immediate","62e073721cd1f5f6cff50910","621","F","","25","Y","Y"," "
"35","Immediate","63480954af4c7db036aa6595","620","F","","72","Y","Y"," "
"36","Immediate","5928b05e590f0b000126edb8","619","M","","25","Y","Y"," "
"37","Immediate","63614d2f3531a1f02d12fe94","618","M","","23","Y","Y"," "
"38","Immediate","62162ab583fc823e78c025e2","617","F","","59","Y","Y"," "
