jatos_id,prolific_id,gamenum,itemnum,items,times,firsttime,category,starttime,shortlist,rt
660,60b0334a2e48ac0856f33161,1,1,Dog,1684729201940,1684729200480,Animals,1684729198465,0,3.475
660,60b0334a2e48ac0856f33161,1,2,Cat,1684729203087,1684729202291,Animals,1684729198465,0,1.147
660,60b0334a2e48ac0856f33161,1,3,Human,1684729205812,1684729204388,Animals,1684729198465,0,2.725
660,60b0334a2e48ac0856f33161,1,4,Leopard,1684729207830,1684729206380,Animals,1684729198465,0,2.018
660,60b0334a2e48ac0856f33161,1,5,Tiger,1684729209202,1684729208208,Animals,1684729198465,0,1.372
660,60b0334a2e48ac0856f33161,1,6,Lion,1684729211069,1684729209899,Animals,1684729198465,0,1.867
660,60b0334a2e48ac0856f33161,1,7,Whale,1684729212645,1684729211339,Animals,1684729198465,0,1.576
660,60b0334a2e48ac0856f33161,1,8,Dolphin,1684729214916,1684729213008,Animals,1684729198465,0,2.271
660,60b0334a2e48ac0856f33161,1,9,Bear,1684729222594,1684729221612,Animals,1684729198465,0,7.678
660,60b0334a2e48ac0856f33161,1,10,Opposum,1684729231252,1684729229618,Animals,1684729198465,0,8.658
660,60b0334a2e48ac0856f33161,1,11,Squirrel,1684729233258,1684729231499,Animals,1684729198465,0,2.006
660,60b0334a2e48ac0856f33161,1,12,Hamster,1684729236827,1684729235093,Animals,1684729198465,0,3.569
660,60b0334a2e48ac0856f33161,1,13,Guinea Pig,1684729239876,1684729237233,Animals,1684729198465,0,3.049
660,60b0334a2e48ac0856f33161,1,14,Racoon,1684729259818,1684729253553,Animals,1684729198465,0,19.942
660,60b0334a2e48ac0856f33161,1,15,Koala,1684729271688,1684729270471,Animals,1684729198465,0,11.87
660,60b0334a2e48ac0856f33161,1,16,Panda,1684729275375,1684729272308,Animals,1684729198465,0,3.687
660,60b0334a2e48ac0856f33161,1,17,Penguin,1684729284210,1684729275751,Animals,1684729198465,0,8.835
659,63014447bcd5b69388099876,1,1,elephant,1684715468132,1684715463363,Animals,1684715460540,0,7.592
659,63014447bcd5b69388099876,1,2,cheetah,1684715477044,1684715475204,Animals,1684715460540,0,8.912
659,63014447bcd5b69388099876,1,3,tiger,1684715480831,1684715479697,Animals,1684715460540,0,3.787
659,63014447bcd5b69388099876,1,4,tiger,1684715506046,1684715504897,Animals,1684715460540,0,25.215
659,63014447bcd5b69388099876,1,5,squirrel,1684715511284,1684715508977,Animals,1684715460540,0,5.238
659,63014447bcd5b69388099876,1,6,hippo,1684715517423,1684715516512,Animals,1684715460540,0,6.139
659,63014447bcd5b69388099876,1,7,pig,1684715519771,1684715519088,Animals,1684715460540,0,2.348
658,63312d50b69dc2a2122ed1c2,1,1,cat,1684694670480,1684694670034,Animals,1684694668428,0,2.052
658,63312d50b69dc2a2122ed1c2,1,2,dog,1684694671493,1684694670781,Animals,1684694668428,0,1.013
658,63312d50b69dc2a2122ed1c2,1,3,monnkey,1684694672750,1684694671738,Animals,1684694668428,0,1.257
658,63312d50b69dc2a2122ed1c2,1,4,horse,1684694675452,1684694674525,Animals,1684694668428,0,2.702
658,63312d50b69dc2a2122ed1c2,1,5,bug,1684694678103,1684694677557,Animals,1684694668428,0,2.651
658,63312d50b69dc2a2122ed1c2,1,6,insect,1684694680444,1684694678614,Animals,1684694668428,0,2.341
658,63312d50b69dc2a2122ed1c2,1,7,caterpillar,1684694685004,1684694682278,Animals,1684694668428,0,4.56
658,63312d50b69dc2a2122ed1c2,1,8,gorilla,1684694688107,1684694686874,Animals,1684694668428,0,3.103
658,63312d50b69dc2a2122ed1c2,1,9,turtle,1684694690988,1684694689645,Animals,1684694668428,0,2.881
658,63312d50b69dc2a2122ed1c2,1,10,lizard,1684694693143,1684694691319,Animals,1684694668428,0,2.155
658,63312d50b69dc2a2122ed1c2,1,11,giraffe,1684694696562,1684694695078,Animals,1684694668428,0,3.419
658,63312d50b69dc2a2122ed1c2,1,12,elephant,1684694700446,1684694697689,Animals,1684694668428,0,3.884
658,63312d50b69dc2a2122ed1c2,1,13,zebra,1684694705362,1684694703994,Animals,1684694668428,0,4.916
658,63312d50b69dc2a2122ed1c2,1,14,lion,1684694707031,1684694706239,Animals,1684694668428,0,1.669
658,63312d50b69dc2a2122ed1c2,1,15,tiger,1684694708244,1684694707462,Animals,1684694668428,0,1.213
658,63312d50b69dc2a2122ed1c2,1,16,orangutan,1684694721356,1684694716614,Animals,1684694668428,0,13.112
658,63312d50b69dc2a2122ed1c2,1,17,chimp,1684694730767,1684694729164,Animals,1684694668428,0,9.411
658,63312d50b69dc2a2122ed1c2,1,18,caracal,1684694737633,1684694736345,Animals,1684694668428,0,6.866
658,63312d50b69dc2a2122ed1c2,1,19,serval,1684694739102,1684694737899,Animals,1684694668428,0,1.469
658,63312d50b69dc2a2122ed1c2,1,20,shark,1684694743673,1684694742661,Animals,1684694668428,0,4.571
658,63312d50b69dc2a2122ed1c2,1,21,fish,1684694745597,1684694743988,Animals,1684694668428,0,1.924
658,63312d50b69dc2a2122ed1c2,1,22,mammoth,1684694747942,1684694746474,Animals,1684694668428,0,2.345
658,63312d50b69dc2a2122ed1c2,1,23,sabertooth,1684694752810,1684694750249,Animals,1684694668428,0,4.868
657,61019c7bfef4b6c8de7d5f55,1,1,flamingo,1684694142835,1684694141590,Animals,1684694140034,0,2.801
657,61019c7bfef4b6c8de7d5f55,1,2,giraffe,1684694144627,1684694143304,Animals,1684694140034,0,1.792
657,61019c7bfef4b6c8de7d5f55,1,3,monkey,1684694151261,1684694150310,Animals,1684694140034,0,6.634
657,61019c7bfef4b6c8de7d5f55,1,4,chimpanzee,1684694153624,1684694151406,Animals,1684694140034,0,2.363
657,61019c7bfef4b6c8de7d5f55,1,5,dolphin,1684694156242,1684694154124,Animals,1684694140034,0,2.618
657,61019c7bfef4b6c8de7d5f55,1,6,penguin,1684694157790,1684694156431,Animals,1684694140034,0,1.548
657,61019c7bfef4b6c8de7d5f55,1,7,dog,1684694159390,1684694158973,Animals,1684694140034,0,1.6
657,61019c7bfef4b6c8de7d5f55,1,8,cat,1684694160410,1684694159880,Animals,1684694140034,0,1.02
657,61019c7bfef4b6c8de7d5f55,1,9,lizard,1684694161955,1684694160744,Animals,1684694140034,0,1.545
657,61019c7bfef4b6c8de7d5f55,1,10,fish,1684694165674,1684694165050,Animals,1684694140034,0,3.719
657,61019c7bfef4b6c8de7d5f55,1,11,starfish,1684694168059,1684694165946,Animals,1684694140034,0,2.385
657,61019c7bfef4b6c8de7d5f55,1,12,seahorse,1684694170100,1684694168202,Animals,1684694140034,0,2.041
657,61019c7bfef4b6c8de7d5f55,1,13,octopus,1684694173575,1684694170345,Animals,1684694140034,0,3.475
657,61019c7bfef4b6c8de7d5f55,1,14,sea lion,1684694177718,1684694175399,Animals,1684694140034,0,4.143
657,61019c7bfef4b6c8de7d5f55,1,15,lion,1684694178774,1684694178019,Animals,1684694140034,0,1.056
657,61019c7bfef4b6c8de7d5f55,1,16,tiger,1684694179978,1684694179252,Animals,1684694140034,0,1.204
657,61019c7bfef4b6c8de7d5f55,1,17,leopard,1684694191311,1684694182596,Animals,1684694140034,0,11.333
657,61019c7bfef4b6c8de7d5f55,1,18,elephant,1684694194666,1684694193059,Animals,1684694140034,0,3.355
657,61019c7bfef4b6c8de7d5f55,1,19,seagull,1684694199177,1684694197276,Animals,1684694140034,0,4.511
657,61019c7bfef4b6c8de7d5f55,1,20,blobfish,1684694213256,1684694211122,Animals,1684694140034,0,14.079
657,61019c7bfef4b6c8de7d5f55,1,21,clownfish,1684694214969,1684694213424,Animals,1684694140034,0,1.713
657,61019c7bfef4b6c8de7d5f55,1,22,rabbit,1684694224677,1684694223766,Animals,1684694140034,0,9.708
657,61019c7bfef4b6c8de7d5f55,1,23,guinea pig,1684694229915,1684694226938,Animals,1684694140034,0,5.238
656,611c0958e3975a30a658a3fe,1,1,trombone,1684694069771,1684694068316,Animals,1684694066484,0,3.287
656,611c0958e3975a30a658a3fe,1,2,piano,1684694071009,1684694070251,Animals,1684694066484,0,1.238
656,611c0958e3975a30a658a3fe,1,3,trumpet,1684694073682,1684694072627,Animals,1684694066484,0,2.673
656,611c0958e3975a30a658a3fe,1,4,violin,1684694075456,1684694074512,Animals,1684694066484,0,1.774
656,611c0958e3975a30a658a3fe,1,5,basoon,1684694079011,1684694076919,Animals,1684694066484,0,3.555
656,611c0958e3975a30a658a3fe,1,6,flute,1684694081627,1684694080665,Animals,1684694066484,0,2.616
656,611c0958e3975a30a658a3fe,1,7,clarinet,1684694083940,1684694082309,Animals,1684694066484,0,2.313
656,611c0958e3975a30a658a3fe,1,8,harp,1684694085603,1684694084927,Animals,1684694066484,0,1.663
656,611c0958e3975a30a658a3fe,1,9,drums,1684694090333,1684694089604,Animals,1684694066484,0,4.73
656,611c0958e3975a30a658a3fe,1,10,tuba,1684694093626,1684694093048,Animals,1684694066484,0,3.293
656,611c0958e3975a30a658a3fe,1,11,flamingo,1684694103620,1684694102146,Animals,1684694066484,0,9.994
656,611c0958e3975a30a658a3fe,1,12,panda,1684694106077,1684694105377,Animals,1684694066484,0,2.457
656,611c0958e3975a30a658a3fe,1,13,dog,1684694109868,1684694108943,Animals,1684694066484,0,3.791
656,611c0958e3975a30a658a3fe,1,14,cat,1684694110858,1684694110131,Animals,1684694066484,0,0.99
656,611c0958e3975a30a658a3fe,1,15,leopard,1684694113623,1684694111839,Animals,1684694066484,0,2.765
656,611c0958e3975a30a658a3fe,1,16,cheetah,1684694117967,1684694113892,Animals,1684694066484,0,4.344
656,611c0958e3975a30a658a3fe,1,17,gorilla,1684694122738,1684694119411,Animals,1684694066484,0,4.771
656,611c0958e3975a30a658a3fe,1,18,fox,1684694125413,1684694124954,Animals,1684694066484,0,2.675
656,611c0958e3975a30a658a3fe,1,19,ant,1684694126671,1684694126204,Animals,1684694066484,0,1.258
656,611c0958e3975a30a658a3fe,1,20,spider,1684694127856,1684694127025,Animals,1684694066484,0,1.185
656,611c0958e3975a30a658a3fe,1,21,wolf,1684694129257,1684694128693,Animals,1684694066484,0,1.401
656,611c0958e3975a30a658a3fe,1,22,deer,1684694131770,1684694130726,Animals,1684694066484,0,2.513
656,611c0958e3975a30a658a3fe,1,23,chicken,1684694134468,1684694133528,Animals,1684694066484,0,2.698
656,611c0958e3975a30a658a3fe,1,24,whale,1684694135948,1684694135290,Animals,1684694066484,0,1.48
656,611c0958e3975a30a658a3fe,1,25,shark,1684694137219,1684694136289,Animals,1684694066484,0,1.271
656,611c0958e3975a30a658a3fe,1,26,great white shark,1684694141808,1684694139227,Animals,1684694066484,0,4.589
656,611c0958e3975a30a658a3fe,1,27,chameleon,1684694147058,1684694143275,Animals,1684694066484,0,5.25
656,611c0958e3975a30a658a3fe,1,28,starfish,1684694151142,1684694150034,Animals,1684694066484,0,4.084
656,611c0958e3975a30a658a3fe,1,29,jellyfish,1684694153112,1684694151562,Animals,1684694066484,0,1.97
655,6317afadedfd0a63eb5d0522,1,1,Cat,1684681847363,1684681846307,Animals,1684681843420,0,3.943
655,6317afadedfd0a63eb5d0522,1,2,Dog,1684681848834,1684681847690,Animals,1684681843420,0,1.471
655,6317afadedfd0a63eb5d0522,1,3,Bird,1684681850490,1684681849123,Animals,1684681843420,0,1.656
655,6317afadedfd0a63eb5d0522,1,4,Bear,1684681853682,1684681851691,Animals,1684681843420,0,3.192
655,6317afadedfd0a63eb5d0522,1,5,Lion,1684681857714,1684681856275,Animals,1684681843420,0,4.032
655,6317afadedfd0a63eb5d0522,1,6,Monkey,1684681859946,1684681858009,Animals,1684681843420,0,2.232
655,6317afadedfd0a63eb5d0522,1,7,Gorilla,1684681864314,1684681861035,Animals,1684681843420,0,4.368
655,6317afadedfd0a63eb5d0522,1,8,Shrew,1684681868330,1684681866787,Animals,1684681843420,0,4.016
655,6317afadedfd0a63eb5d0522,1,9,Zebra,1684681870450,1684681868650,Animals,1684681843420,0,2.12
655,6317afadedfd0a63eb5d0522,1,10,donkey,1684681872746,1684681870762,Animals,1684681843420,0,2.296
655,6317afadedfd0a63eb5d0522,1,11,moose,1684681874338,1684681873113,Animals,1684681843420,0,1.592
655,6317afadedfd0a63eb5d0522,1,12,camel,1684681876090,1684681874930,Animals,1684681843420,0,1.752
655,6317afadedfd0a63eb5d0522,1,13,groundhog,1684681880282,1684681877874,Animals,1684681843420,0,4.192
655,6317afadedfd0a63eb5d0522,1,14,mole,1684681883402,1684681882387,Animals,1684681843420,0,3.12
655,6317afadedfd0a63eb5d0522,1,15,tiger,1684681889154,1684681887930,Animals,1684681843420,0,5.752
655,6317afadedfd0a63eb5d0522,1,16,elephant,1684681891122,1684681889433,Animals,1684681843420,0,1.968
655,6317afadedfd0a63eb5d0522,1,17,whale,1684681893386,1684681892322,Animals,1684681843420,0,2.264
655,6317afadedfd0a63eb5d0522,1,18,dolphin,1684681896122,1684681893786,Animals,1684681843420,0,2.736
655,6317afadedfd0a63eb5d0522,1,19,jackrabbit,1684681900602,1684681897819,Animals,1684681843420,0,4.48
655,6317afadedfd0a63eb5d0522,1,20,segull,1684681903970,1684681902299,Animals,1684681843420,0,3.368
655,6317afadedfd0a63eb5d0522,1,21,horse,1684681907546,1684681906475,Animals,1684681843420,0,3.576
655,6317afadedfd0a63eb5d0522,1,22,pony,1684681908938,1684681907922,Animals,1684681843420,0,1.392
655,6317afadedfd0a63eb5d0522,1,23,hamster,1684681911010,1684681909346,Animals,1684681843420,0,2.072
655,6317afadedfd0a63eb5d0522,1,24,gerbil,1684681912746,1684681911386,Animals,1684681843420,0,1.736
655,6317afadedfd0a63eb5d0522,1,25,hippo,1684681917482,1684681916099,Animals,1684681843420,0,4.736
655,6317afadedfd0a63eb5d0522,1,26,owl,1684681923354,1684681922444,Animals,1684681843420,0,5.872
655,6317afadedfd0a63eb5d0522,1,27,kitten,1684681926698,1684681925402,Animals,1684681843420,0,3.344
655,6317afadedfd0a63eb5d0522,1,28,puppy,1684681930554,1684681929379,Animals,1684681843420,0,3.856
654,5bb7716f0b651100015c927f,1,1,rhino,1684676259610,1684676258996,Animals,1684676257457,0,2.153
