jatos_id,prolific_id,condition,gamenum,itemnum,items,times,firsttime,category,starttime,shortlist,rt,gender,genderText,ageText,didYouTry,understand,comments
345,606734f4935218ab9f94703c,Immediate,1,1,dog,1683755162667,1683755161972,Animals,1683755158413,0,4.254,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,2,cat,1683755163970,1683755163260,Animals,1683755158413,0,1.303,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,3,rabbit,1683755167843,1683755165539,Animals,1683755158413,0,3.873,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,4,chicken,1683755171354,1683755169779,Animals,1683755158413,0,3.511,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,5,hawk,1683755175026,1683755174113,Animals,1683755158413,0,3.672,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,6,eagle,1683755176988,1683755175987,Animals,1683755158413,0,1.962,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,7,bear,1683755178762,1683755177733,Animals,1683755158413,0,1.774,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,8,lion,1683755180803,1683755179948,Animals,1683755158413,0,2.041,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,9,pig,1683755185181,1683755184554,Animals,1683755158413,0,4.378,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,10,cow,1683755186499,1683755185659,Animals,1683755158413,0,1.318,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,11,mule,1683755188386,1683755187563,Animals,1683755158413,0,1.887,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,12,horse,1683755190154,1683755188874,Animals,1683755158413,0,1.768,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,13,donkey,1683755193050,1683755192051,Animals,1683755158413,0,2.896,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,14,goat,1683755196513,1683755195674,Animals,1683755158413,0,3.463,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,15,lamb,1683755198266,1683755196946,Animals,1683755158413,0,1.753,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,16,elephant,1683755204074,1683755202249,Animals,1683755158413,0,5.808,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,17,zebra,1683755205978,1683755204577,Animals,1683755158413,0,1.904,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,18,impala,1683755213466,1683755208952,Animals,1683755158413,0,7.488,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,19,cougar,1683755216034,1683755215137,Animals,1683755158413,0,2.568,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,20,girraffe,1683755224394,1683755222522,Animals,1683755158413,0,8.36,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,21,hippomatemous,1683755232641,1683755227860,Animals,1683755158413,0,8.247,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,1,22,rhinoaursus,1683755241610,1683755234633,Animals,1683755158413,0,8.969,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,2,1,dog,1683755347103,1683755346600,Animals,1683755344503,0,2.6,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,2,2,cat,1683755348016,1683755347360,Animals,1683755344503,0,0.913,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,2,3,zebra,1683755349583,1683755348336,Animals,1683755344503,0,1.567,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,2,4,horse,1683755351751,1683755349887,Animals,1683755344503,0,2.168,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,2,5,pig,1683755352711,1683755352160,Animals,1683755344503,0,0.96,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,2,6,goat,1683755354096,1683755353183,Animals,1683755344503,0,1.385,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,2,7,pig,1683755356528,1683755356014,Animals,1683755344503,0,2.432,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,2,8,cow,1683755359639,1683755359136,Animals,1683755344503,0,3.111,M,,63,Y,Y,""
345,606734f4935218ab9f94703c,Immediate,2,9,mule,1683755361855,1683755360936,Animals,1683755344503,0,2.216,M,,63,Y,Y,""
