condition,prolific_id,jatos_id,gender,genderText,ageText,didYouTry,understand,comments
Immediate,61079a83c6af47f112977a97,449,M,"",25,Y,Y, 
Immediate,600692691bca77a0deb8d927,448,M,"",23,Y,Y, 
Immediate,61004bf77aff9a6e73bcca30,447,F,"",22,Y,Y, I struggled naming animals as i have a learning disability that makes it hard to spell
Immediate,5f0e8b3ec42b54043d5de0ca,446,F,"",21,Y,Y, 
Immediate,5f15679513afe8025c820671,445,F,"",20,Y,Y, 
Immediate,64013a87deea9afecb68b755,444,M,"",25,Y,Y, 
Immediate,64626c991bcb3a8bbd2880d8,443,M,"",24,Y,Y,I wasn't confused but I do feel that compensation was lower than expected for the amount of writing involved.
Immediate,61080eaae202b0ef135056a5,442,F,"",24,Y,Y, 
Immediate,63d7e97b18c8503ff5be482c,441,M,"",21,Y,Y, I wanted to try to name only new animals. I think that is what confused me and I did worse the second time
Immediate,5f7f8c5995690d14b8e136bb,440,M,"",22,Y,Y, 
Immediate,612f152f7d455625729c73b7,439,F,"",24,Y,Y, 
Immediate,641e3e47556ffc12b0489d88,438,M,"",20,Y,Y, 
Immediate,60fce3b18212191d4efd3422,437,F,"",20,Y,Y, 
Immediate,6171dc9f96de917908c8bb67,436,F,"",21,Y,Y, 
Immediate,5fbd74fba75aff164f4a5de8,435,F,"",24,Y,Y, 
Immediate,615b22b2b654b57bcb5ad7b3,434,F,"",22,Y,Y, 
Immediate,5c17a9fbfeaf2c0001c4b19a,433,M,"",28,Y,N, 
Immediate,63d3ff383464ef54bffdf0d2,432,F,"",22,Y,Y, 
Immediate,60fdaf04746b25a179b05245,430,F,"",20,Y,Y, 
Immediate,644bd5f65278efdaecb4f62f,429,M,"",22,Y,Y, 
Immediate,611dcc61f61f99fe71cc29fb,428,F,"",23,Y,Y, 
Immediate,5fc1fd0f60e49e305afcc6a5,427,M,"",24,Y,, 
Immediate,60ff1a1450c5e5c8fe6922d1,426,F,"",21,Y,Y, 
Immediate,5f2a43a95f057c229165aeed,425,F,"",23,Y,Y, 
Immediate,63d1988fabf100b710125c92,424,F,"",25,Y,Y, 
Immediate,610095a43c0a28ad8189d48f,423,F,"",24,Y,Y, 
Immediate,645a93f0017bb2a61f0cf72a,422,M,"",20,Y,Y, 
Immediate,5e71037dea647c000ac49f12,421,M,"",25,Y,Y, 
Immediate,6108a3ec358bd04e37038c12,420,F,"",24,Y,Y, 
Immediate,6168a6cdc303371392b9d9c8,419,M,"",24,Y,Y, 
Immediate,63f8e18b5176d042dd67f01c,418,M,"",20,Y,Y, 
Immediate,63d7b0b45f9993cbb237fcd6,417,M,"",24,Y,Y, I felt like it was tougher to think of animals after the mathematic questions
Immediate,5ed1d52eea444913b2d4576d,416,M,"",22,Y,N,""
Immediate,6293e6c41fde6ff01b69760b,415,M,"",23,Y,Y, 
Immediate,5f511ab38505ac2e8fbfac5e,414,F,"",24,Y,Y, 
Immediate,60fd7f2e69e5a781cb3ef542,413,F,"",22,Y,Y, 
Immediate,60fcaa7ac117649e189a3ee1,412,F,"",22,Y,Y, 
Immediate,5bef317a2d982b0001059f44,411,M,"",25,Y,Y, 
Immediate,6101b0045f55decb70142341,410,F,"",25,Y,Y, 
Immediate,63ede400ea283f02067dadad,409,F,"",20,Y,Y, 
Immediate,610000c595c5a1847c235e17,408,F,"",21,Y,Y, 
Immediate,63f7dc48f2c570e31e1526cf,407,M,"",21,Y,Y, 
Immediate,640cc04b3cc033171c75638e,406,M,"",20,Y,Y, n/a
Immediate,605bd9acd66170da8fbcdc92,405,F,"",23,Y,Y, 
Immediate,61140fbc763ecf6f2de71183,404,F,"",25,Y,Y, 
Immediate,5e4ccf6b4028e711db748f95,403,F,"",22,Y,Y, 
Immediate,5fff3f938921560203546f23,402,F,"",25,Y,Y, 
Immediate,5e82279d39ea6d067ea804eb,401,F,"",24,Y,Y, 
Immediate,6435b95691d542284002bc90,400,M,"",68,Y,Y," Not confused but I find these types of things stressful as I have some ""brain fog"" due to age and health issues. I cant seem to think as ""fast"" as in the past."
