id,gender,age,condition,listnum,itemnum,item,time,starttime,age_group,rt
61079a83c6af47f112977a97,M,25,Immediate,1,1,cat,1684180928679,1684180925571,young,3108
61079a83c6af47f112977a97,M,25,Immediate,1,2,dog,1684180930159,1684180925571,young,1480
61079a83c6af47f112977a97,M,25,Immediate,1,3,elephant,1684180932422,1684180925571,young,2263
61079a83c6af47f112977a97,M,25,Immediate,1,4,lion,1684180933671,1684180925571,young,1249
61079a83c6af47f112977a97,M,25,Immediate,1,5,tiger,1684180935196,1684180925571,young,1525
61079a83c6af47f112977a97,M,25,Immediate,1,6,giraffe,1684180937289,1684180925571,young,2093
61079a83c6af47f112977a97,M,25,Immediate,1,7,jaguar,1684180939599,1684180925571,young,2310
61079a83c6af47f112977a97,M,25,Immediate,1,8,shark,1684180944322,1684180925571,young,4723
61079a83c6af47f112977a97,M,25,Immediate,1,9,dolphin,1684180947023,1684180925571,young,2701
61079a83c6af47f112977a97,M,25,Immediate,1,10,stingray,1684180949404,1684180925571,young,2381
61079a83c6af47f112977a97,M,25,Immediate,1,11,rabbit,1684180952910,1684180925571,young,3506
61079a83c6af47f112977a97,M,25,Immediate,1,12,rat,1684180954950,1684180925571,young,2040
61079a83c6af47f112977a97,M,25,Immediate,1,13,raccoon,1684180958819,1684180925571,young,3869
61079a83c6af47f112977a97,M,25,Immediate,1,14,badger,1684180963980,1684180925571,young,5161
61079a83c6af47f112977a97,M,25,Immediate,1,15,beaver,1684180966133,1684180925571,young,2153
61079a83c6af47f112977a97,M,25,Immediate,1,16,gerbal,1684180967636,1684180925571,young,1503
61079a83c6af47f112977a97,M,25,Immediate,1,17,snake,1684180969350,1684180925571,young,1714
61079a83c6af47f112977a97,M,25,Immediate,1,18,parrot,1684180975929,1684180925571,young,6579
61079a83c6af47f112977a97,M,25,Immediate,1,19,crow,1684180978635,1684180925571,young,2706
61079a83c6af47f112977a97,M,25,Immediate,1,20,clownfish,1684180985457,1684180925571,young,6822
61079a83c6af47f112977a97,M,25,Immediate,1,21,panther,1684180991487,1684180925571,young,6030
61079a83c6af47f112977a97,M,25,Immediate,1,22,cardinal,1684180994162,1684180925571,young,2675
61079a83c6af47f112977a97,M,25,Immediate,1,23,sloth,1684180999472,1684180925571,young,5310
61079a83c6af47f112977a97,M,25,Immediate,1,24,lemur,1684181006447,1684180925571,young,6975
61079a83c6af47f112977a97,M,25,Immediate,1,25,monkey,1684181007892,1684180925571,young,1445
61079a83c6af47f112977a97,M,25,Immediate,1,26,gorilla,1684181009375,1684180925571,young,1483
61079a83c6af47f112977a97,M,25,Immediate,1,27,lizard,1684181012270,1684180925571,young,2895
61079a83c6af47f112977a97,M,25,Immediate,1,28,iguana,1684181013708,1684180925571,young,1438
61079a83c6af47f112977a97,M,25,Immediate,2,1,cat,1684181085954,1684181083277,young,2677
61079a83c6af47f112977a97,M,25,Immediate,2,2,dog,1684181087146,1684181083277,young,1192
61079a83c6af47f112977a97,M,25,Immediate,2,3,rabbit,1684181089105,1684181083277,young,1959
61079a83c6af47f112977a97,M,25,Immediate,2,4,sloth,1684181092913,1684181083277,young,3808
61079a83c6af47f112977a97,M,25,Immediate,2,5,rat,1684181096900,1684181083277,young,3987
61079a83c6af47f112977a97,M,25,Immediate,2,6,raccoon,1684181098611,1684181083277,young,1711
61079a83c6af47f112977a97,M,25,Immediate,2,7,giraffe,1684181100655,1684181083277,young,2044
61079a83c6af47f112977a97,M,25,Immediate,2,8,elephant,1684181102548,1684181083277,young,1893
61079a83c6af47f112977a97,M,25,Immediate,2,9,crow,1684181106743,1684181083277,young,4195
61079a83c6af47f112977a97,M,25,Immediate,2,10,parrot,1684181109144,1684181083277,young,2401
61079a83c6af47f112977a97,M,25,Immediate,2,11,mockingbird,1684181113273,1684181083277,young,4129
