correct,incorrect
aardvark,aadvark
aardvark,aadvarks
aardvark,aardvaark
aardvark,aarkvard
aardvark,advart
aardvark,ardvaark
aardvark,ardvark
afghanhound,afghans
airdaleterrier,airedaleterrier
airedaleterrier,airdale
airedaleterrier,airdales
airedaleterrier,airedale
albatross,albatros
albatross,albatrosse
alligator,alagartor
alligator,alagator
alligator,alagators
alligator,alegator
alligator,alegators
alligator,aligater
alligator,aligator
alligator,aligators
alligator,aligattor
alligator,allegator
alligator,allgator
alligator,alliagot
alligator,alliagtor
alligator,alliagtors
alligator,alligaotr
alligator,alligaror
alligator,alligatar
alligator,alligater
alligator,alligato
alligator,alligators
alligator,alliigator
alligator,gator
alligator,gators
alligator,zlligator
alligator,alligaor
alligator,alligaor
alligator,alligatorgar
alpaca,alpacas
alpaca,alpacca
alpaca,alpacha
alpaca,alpacka
alpaca,alpackas
alpaca,alpakas
alpaca,aplaca
alpaca,elpaca
alpaca,elpaka
alpaca,alpace
anaconda,anacanda
anaconda,anacondas
anaconda,anoconda
anchovy,anchovie
anemone,anenomie
anemone,seaanemene
anemone,seaanemones
anemone,seaanenome
anemone,seanemone
angelfish,angelfishes
angelfish,anglefish
anglerfish,angler
anglerfish,anglerfishes
anglerfish,anglerfishs
anglerfish,antler
ant,an
ant,and
ant,andts
ant,ants
ant,antt
ant,any
ant,aunt
anteater,anteat
anteater,anteaters
anteater,anteather
anteater,anteatter
anteater,anterater
anteater,anteter
anteater,antwater
anteater,anyeater
antelope,analope
antelope,anetelope
antelope,antalope
antelope,antalopes
antelope,antaloupe
antelope,antellope
antelope,antellopes
antelope,antelop
antelope,antelopes
antelope,anteloph
antelope,antelopre
antelope,antilope
antelope,antlope
antelope,atelope
antelope,cantalope
antelope,cantaloupe
antelope,anteatere
antelope,anteloupe
antelope,canteloupe
apatosaurus,apathosaurusajax
ape,age
ape,ap
ape,apes
ape,apr
aplysia,seaslugaplysia
arcticfox,snowfox
armadillo,admaridllo
armadillo,ardmillo
armadillo,armadilllo
armadillo,armadillos
