,Subject,Fluency_Item,Switch_Value,Switch_Method
0,606734f4935218ab9f94703c,dog,2,simdrop
1,606734f4935218ab9f94703c,cat,0,simdrop
2,606734f4935218ab9f94703c,rabbit,0,simdrop
3,606734f4935218ab9f94703c,chicken,0,simdrop
4,606734f4935218ab9f94703c,hawk,0,simdrop
5,606734f4935218ab9f94703c,eagle,0,simdrop
6,606734f4935218ab9f94703c,bear,1,simdrop
7,606734f4935218ab9f94703c,lion,0,simdrop
8,606734f4935218ab9f94703c,pig,1,simdrop
9,606734f4935218ab9f94703c,cow,0,simdrop
10,606734f4935218ab9f94703c,mule,1,simdrop
11,606734f4935218ab9f94703c,horse,0,simdrop
12,606734f4935218ab9f94703c,donkey,0,simdrop
13,606734f4935218ab9f94703c,goat,0,simdrop
14,606734f4935218ab9f94703c,sheep,0,simdrop
15,606734f4935218ab9f94703c,elephant,1,simdrop
16,606734f4935218ab9f94703c,zebra,0,simdrop
17,606734f4935218ab9f94703c,impala,0,simdrop
18,606734f4935218ab9f94703c,cougar,1,simdrop
19,606734f4935218ab9f94703c,giraffe,0,simdrop
20,606734f4935218ab9f94703c,hippopotamus,0,simdrop
21,606734f4935218ab9f94703c,rhinoceros,2,simdrop
22,5ef11fdda0736031899eb5dc,dog,2,simdrop
23,5ef11fdda0736031899eb5dc,cat,0,simdrop
24,5ef11fdda0736031899eb5dc,bird,0,simdrop
25,5ef11fdda0736031899eb5dc,snake,0,simdrop
26,5ef11fdda0736031899eb5dc,cow,1,simdrop
27,5ef11fdda0736031899eb5dc,horse,0,simdrop
28,5ef11fdda0736031899eb5dc,elephant,1,simdrop
29,5ef11fdda0736031899eb5dc,tiger,0,simdrop
30,5ef11fdda0736031899eb5dc,camel,1,simdrop
31,5ef11fdda0736031899eb5dc,giraffe,0,simdrop
32,5ef11fdda0736031899eb5dc,bear,1,simdrop
33,5ef11fdda0736031899eb5dc,raccoon,0,simdrop
34,5ef11fdda0736031899eb5dc,squirrel,0,simdrop
35,5ef11fdda0736031899eb5dc,turtle,1,simdrop
36,5ef11fdda0736031899eb5dc,fish,0,simdrop
37,5ef11fdda0736031899eb5dc,beaver,1,simdrop
38,5ef11fdda0736031899eb5dc,chipmunk,0,simdrop
39,5ef11fdda0736031899eb5dc,moose,1,simdrop
40,5ef11fdda0736031899eb5dc,deer,2,simdrop
41,5c3630c83ce2c8000111b504,giraffe,2,simdrop
42,5c3630c83ce2c8000111b504,elephant,0,simdrop
43,5c3630c83ce2c8000111b504,lion,0,simdrop
44,5c3630c83ce2c8000111b504,cat,1,simdrop
45,5c3630c83ce2c8000111b504,dog,0,simdrop
46,5c3630c83ce2c8000111b504,parrot,1,simdrop
47,5c3630c83ce2c8000111b504,turtle,0,simdrop
48,5c3630c83ce2c8000111b504,rhinoceros,1,simdrop
49,5c3630c83ce2c8000111b504,hippopotamus,0,simdrop
50,5c3630c83ce2c8000111b504,zebra,0,simdrop
51,5c3630c83ce2c8000111b504,horse,1,simdrop
52,5c3630c83ce2c8000111b504,cow,0,simdrop
53,5c3630c83ce2c8000111b504,goat,0,simdrop
54,5c3630c83ce2c8000111b504,snake,1,simdrop
55,5c3630c83ce2c8000111b504,tortoise,0,simdrop
56,5c3630c83ce2c8000111b504,dolphin,1,simdrop
57,5c3630c83ce2c8000111b504,whale,0,simdrop
58,5c3630c83ce2c8000111b504,lizard,0,simdrop
59,5c3630c83ce2c8000111b504,mouse,1,simdrop
60,5c3630c83ce2c8000111b504,rat,0,simdrop
61,5c3630c83ce2c8000111b504,raccoon,0,simdrop
62,5c3630c83ce2c8000111b504,otter,0,simdrop
63,5c3630c83ce2c8000111b504,possum,0,simdrop
64,5c3630c83ce2c8000111b504,mole,0,simdrop
65,5c3630c83ce2c8000111b504,meerkat,1,simdrop
66,5c3630c83ce2c8000111b504,peacock,0,simdrop
67,5c3630c83ce2c8000111b504,parakeet,0,simdrop
68,5c3630c83ce2c8000111b504,pufferfish,1,simdrop
69,5c3630c83ce2c8000111b504,goldfish,2,simdrop
70,63fba9e68d9ff349947fece5,zebra,2,simdrop
71,63fba9e68d9ff349947fece5,elephant,0,simdrop
72,63fba9e68d9ff349947fece5,giraffe,0,simdrop
73,63fba9e68d9ff349947fece5,dog,1,simdrop
74,63fba9e68d9ff349947fece5,fox,0,simdrop
75,63fba9e68d9ff349947fece5,coyote,0,simdrop
76,63fba9e68d9ff349947fece5,bear,0,simdrop
77,63fba9e68d9ff349947fece5,deer,1,simdrop
78,63fba9e68d9ff349947fece5,raccoon,0,simdrop
79,63fba9e68d9ff349947fece5,mouse,1,simdrop
80,63fba9e68d9ff349947fece5,rat,0,simdrop
81,63fba9e68d9ff349947fece5,wildebeest,2,simdrop
82,5efd12bb12f04114e442283c,cat,2,simdrop
83,5efd12bb12f04114e442283c,dog,0,simdrop
84,5efd12bb12f04114e442283c,raccoon,1,simdrop
85,5efd12bb12f04114e442283c,squirrel,0,simdrop
86,5efd12bb12f04114e442283c,lion,1,simdrop
87,5efd12bb12f04114e442283c,bear,0,simdrop
88,5efd12bb12f04114e442283c,bird,1,simdrop
89,5efd12bb12f04114e442283c,zebra,0,simdrop
90,5efd12bb12f04114e442283c,horse,0,simdrop
91,5efd12bb12f04114e442283c,cow,0,simdrop
92,5efd12bb12f04114e442283c,goat,0,simdrop
93,5efd12bb12f04114e442283c,donkey,0,simdrop
94,5efd12bb12f04114e442283c,bull,1,simdrop
95,5efd12bb12f04114e442283c,buffalo,0,simdrop
96,5efd12bb12f04114e442283c,monkey,0,simdrop
97,5efd12bb12f04114e442283c,ferret,1,simdrop
98,5efd12bb12f04114e442283c,tiger,2,simdrop
99,5bd8fabf544d4f000141d94d,dog,2,simdrop
100,5bd8fabf544d4f000141d94d,cat,0,simdrop
101,5bd8fabf544d4f000141d94d,mouse,0,simdrop
102,5bd8fabf544d4f000141d94d,lion,1,simdrop
103,5bd8fabf544d4f000141d94d,tiger,0,simdrop
104,5bd8fabf544d4f000141d94d,ocelot,1,simdrop
105,5bd8fabf544d4f000141d94d,giraffe,0,simdrop
106,5bd8fabf544d4f000141d94d,anteater,0,simdrop
107,5bd8fabf544d4f000141d94d,fox,0,simdrop
108,5bd8fabf544d4f000141d94d,horse,1,simdrop
109,5bd8fabf544d4f000141d94d,cow,0,simdrop
110,5bd8fabf544d4f000141d94d,fish,0,simdrop
111,5bd8fabf544d4f000141d94d,monkey,1,simdrop
112,5bd8fabf544d4f000141d94d,badger,0,simdrop
113,5bd8fabf544d4f000141d94d,chipmunk,2,simdrop
114,63b9ff9f64549294f0abe3c1,bear,2,simdrop
115,63b9ff9f64549294f0abe3c1,walrus,0,simdrop
116,63b9ff9f64549294f0abe3c1,seal,0,simdrop
117,63b9ff9f64549294f0abe3c1,deer,1,simdrop
118,63b9ff9f64549294f0abe3c1,antelope,0,simdrop
119,63b9ff9f64549294f0abe3c1,tapir,1,simdrop
120,63b9ff9f64549294f0abe3c1,elephant,0,simdrop
121,63b9ff9f64549294f0abe3c1,cat,1,simdrop
122,63b9ff9f64549294f0abe3c1,dog,0,simdrop
123,63b9ff9f64549294f0abe3c1,fish,1,simdrop
124,63b9ff9f64549294f0abe3c1,moose,0,simdrop
125,63b9ff9f64549294f0abe3c1,rhinoceros,1,simdrop
126,63b9ff9f64549294f0abe3c1,monkey,0,simdrop
127,63b9ff9f64549294f0abe3c1,penguin,0,simdrop
128,63b9ff9f64549294f0abe3c1,bird,0,simdrop
129,63b9ff9f64549294f0abe3c1,fawn,0,simdrop
130,63b9ff9f64549294f0abe3c1,goat,1,simdrop
131,63b9ff9f64549294f0abe3c1,chicken,0,simdrop
132,63b9ff9f64549294f0abe3c1,pig,0,simdrop
133,63b9ff9f64549294f0abe3c1,horse,0,simdrop
134,63b9ff9f64549294f0abe3c1,bat,2,simdrop
135,614f297777d0d8f5e2a5b354,giraffe,2,simdrop
136,614f297777d0d8f5e2a5b354,lion,0,simdrop
137,614f297777d0d8f5e2a5b354,zebra,1,simdrop
138,614f297777d0d8f5e2a5b354,dog,0,simdrop
139,614f297777d0d8f5e2a5b354,cat,0,simdrop
140,614f297777d0d8f5e2a5b354,horse,0,simdrop
141,614f297777d0d8f5e2a5b354,deer,1,simdrop
142,614f297777d0d8f5e2a5b354,moose,0,simdrop
143,614f297777d0d8f5e2a5b354,leopard,1,simdrop
144,614f297777d0d8f5e2a5b354,bobcat,0,simdrop
145,614f297777d0d8f5e2a5b354,pig,1,simdrop
146,614f297777d0d8f5e2a5b354,mule,0,simdrop
147,614f297777d0d8f5e2a5b354,bear,2,simdrop
148,6056962634a5230dacdb63fc,dolphin,2,simdrop
149,6056962634a5230dacdb63fc,bear,0,simdrop
150,6056962634a5230dacdb63fc,cougar,0,simdrop
151,6056962634a5230dacdb63fc,dog,0,simdrop
152,6056962634a5230dacdb63fc,cat,0,simdrop
153,6056962634a5230dacdb63fc,fish,1,simdrop
154,6056962634a5230dacdb63fc,snake,0,simdrop
155,6056962634a5230dacdb63fc,ant,0,simdrop
156,6056962634a5230dacdb63fc,beetle,0,simdrop
157,6056962634a5230dacdb63fc,spider,0,simdrop
158,6056962634a5230dacdb63fc,crab,1,simdrop
159,6056962634a5230dacdb63fc,lobster,0,simdrop
160,6056962634a5230dacdb63fc,worm,1,simdrop
161,6056962634a5230dacdb63fc,octopus,0,simdrop
162,6056962634a5230dacdb63fc,nudibranch,0,simdrop
163,6056962634a5230dacdb63fc,anemone,0,simdrop
164,6056962634a5230dacdb63fc,coral,0,simdrop
165,6056962634a5230dacdb63fc,grasshopper,1,simdrop
166,6056962634a5230dacdb63fc,manta_ray,0,simdrop
167,6056962634a5230dacdb63fc,stingray,0,simdrop
168,6056962634a5230dacdb63fc,eagle,2,simdrop
169,640e4ddaf9f67c6c8ea4936b,cat,2,simdrop
170,640e4ddaf9f67c6c8ea4936b,dog,0,simdrop
171,640e4ddaf9f67c6c8ea4936b,bird,0,simdrop
172,640e4ddaf9f67c6c8ea4936b,rat,1,simdrop
173,640e4ddaf9f67c6c8ea4936b,pig,0,simdrop
174,640e4ddaf9f67c6c8ea4936b,horse,0,simdrop
175,640e4ddaf9f67c6c8ea4936b,zebra,1,simdrop
176,640e4ddaf9f67c6c8ea4936b,giraffe,0,simdrop
177,640e4ddaf9f67c6c8ea4936b,bear,0,simdrop
178,640e4ddaf9f67c6c8ea4936b,duck,1,simdrop
179,640e4ddaf9f67c6c8ea4936b,frog,0,simdrop
180,640e4ddaf9f67c6c8ea4936b,lizard,0,simdrop
181,640e4ddaf9f67c6c8ea4936b,snake,2,simdrop
182,606609111ba10f35596db018,cat,2,simdrop
183,606609111ba10f35596db018,dog,0,simdrop
184,606609111ba10f35596db018,horse,1,simdrop
185,606609111ba10f35596db018,cow,0,simdrop
186,606609111ba10f35596db018,opossum,1,simdrop
187,606609111ba10f35596db018,raccoon,0,simdrop
188,606609111ba10f35596db018,deer,0,simdrop
189,606609111ba10f35596db018,peccary,1,simdrop
190,606609111ba10f35596db018,bobcat,0,simdrop
191,606609111ba10f35596db018,mountain_lion,0,simdrop
192,606609111ba10f35596db018,giraffe,1,simdrop
193,606609111ba10f35596db018,tiger,0,simdrop
194,606609111ba10f35596db018,cheetah,0,simdrop
195,606609111ba10f35596db018,elephant,0,simdrop
196,606609111ba10f35596db018,prairie_dog,1,simdrop
197,606609111ba10f35596db018,sheep,0,simdrop
198,606609111ba10f35596db018,buffalo,0,simdrop
199,606609111ba10f35596db018,rabbit,1,simdrop
200,606609111ba10f35596db018,snake,0,simdrop
201,606609111ba10f35596db018,groundhog,1,simdrop
202,606609111ba10f35596db018,beaver,0,simdrop
203,606609111ba10f35596db018,turkey,2,simdrop
204,5e2d96d3bc554937d1b3917a,cat,2,simdrop
205,5e2d96d3bc554937d1b3917a,dog,0,simdrop
206,5e2d96d3bc554937d1b3917a,rhinoceros,1,simdrop
207,5e2d96d3bc554937d1b3917a,elephant,0,simdrop
208,5e2d96d3bc554937d1b3917a,giraffe,0,simdrop
209,5e2d96d3bc554937d1b3917a,snake,1,simdrop
210,5e2d96d3bc554937d1b3917a,tiger,0,simdrop
211,5e2d96d3bc554937d1b3917a,lion,0,simdrop
212,5e2d96d3bc554937d1b3917a,bear,0,simdrop
213,5e2d96d3bc554937d1b3917a,aardvark,1,simdrop
214,5e2d96d3bc554937d1b3917a,raccoon,0,simdrop
215,5e2d96d3bc554937d1b3917a,squirrel,0,simdrop
216,5e2d96d3bc554937d1b3917a,rat,0,simdrop
217,5e2d96d3bc554937d1b3917a,deer,1,simdrop
218,5e2d96d3bc554937d1b3917a,antelope,0,simdrop
219,5e2d96d3bc554937d1b3917a,goat,1,simdrop
220,5e2d96d3bc554937d1b3917a,sheep,2,simdrop
221,58b2338a898c2e0001a5ca56,dog,2,simdrop
222,58b2338a898c2e0001a5ca56,horse,0,simdrop
223,58b2338a898c2e0001a5ca56,snake,1,simdrop
224,58b2338a898c2e0001a5ca56,cow,0,simdrop
225,58b2338a898c2e0001a5ca56,bird,0,simdrop
226,58b2338a898c2e0001a5ca56,red_tailed_hawk,0,simdrop
227,58b2338a898c2e0001a5ca56,buzzard,0,simdrop
228,58b2338a898c2e0001a5ca56,anteater,0,simdrop
229,58b2338a898c2e0001a5ca56,lion,2,simdrop
230,5ba176b4f7e29100014449e2,cat,2,simdrop
231,5ba176b4f7e29100014449e2,dog,0,simdrop
232,5ba176b4f7e29100014449e2,lion,0,simdrop
233,5ba176b4f7e29100014449e2,raccoon,1,simdrop
234,5ba176b4f7e29100014449e2,bird,0,simdrop
235,5ba176b4f7e29100014449e2,lizard,0,simdrop
236,5ba176b4f7e29100014449e2,snake,0,simdrop
237,5ba176b4f7e29100014449e2,turtle,0,simdrop
238,5ba176b4f7e29100014449e2,elephant,1,simdrop
239,5ba176b4f7e29100014449e2,giraffe,0,simdrop
240,5ba176b4f7e29100014449e2,leopard,1,simdrop
241,5ba176b4f7e29100014449e2,tiger,0,simdrop
242,5ba176b4f7e29100014449e2,monkey,1,simdrop
243,5ba176b4f7e29100014449e2,gorilla,0,simdrop
244,5ba176b4f7e29100014449e2,kangaroo,0,simdrop
245,5ba176b4f7e29100014449e2,sloth,1,simdrop
246,5ba176b4f7e29100014449e2,orangutan,0,simdrop
247,5ba176b4f7e29100014449e2,zebra,0,simdrop
248,5ba176b4f7e29100014449e2,llama,0,simdrop
249,5ba176b4f7e29100014449e2,cow,0,simdrop
250,5ba176b4f7e29100014449e2,pig,0,simdrop
251,5ba176b4f7e29100014449e2,deer,1,simdrop
252,5ba176b4f7e29100014449e2,bobcat,0,simdrop
253,5ba176b4f7e29100014449e2,coyote,0,simdrop
254,5ba176b4f7e29100014449e2,wolf,0,simdrop
255,5ba176b4f7e29100014449e2,lemur,0,simdrop
256,5ba176b4f7e29100014449e2,ferret,1,simdrop
257,5ba176b4f7e29100014449e2,hamster,0,simdrop
258,5ba176b4f7e29100014449e2,guinea_pig,0,simdrop
259,5ba176b4f7e29100014449e2,gazelle,2,simdrop
260,5b342c9da2982a0001dd9f25,aardvark,2,simdrop
261,5b342c9da2982a0001dd9f25,raccoon,0,simdrop
262,5b342c9da2982a0001dd9f25,opossum,0,simdrop
263,5b342c9da2982a0001dd9f25,cow,1,simdrop
264,5b342c9da2982a0001dd9f25,dog,0,simdrop
265,5b342c9da2982a0001dd9f25,cat,0,simdrop
266,5b342c9da2982a0001dd9f25,human,1,simdrop
267,5b342c9da2982a0001dd9f25,monkey,0,simdrop
268,5b342c9da2982a0001dd9f25,ape,0,simdrop
269,5b342c9da2982a0001dd9f25,giraffe,1,simdrop
270,5b342c9da2982a0001dd9f25,elephant,0,simdrop
271,5b342c9da2982a0001dd9f25,cheetah,0,simdrop
272,5b342c9da2982a0001dd9f25,lion,1,simdrop
273,5b342c9da2982a0001dd9f25,tiger,0,simdrop
274,5b342c9da2982a0001dd9f25,leopard,0,simdrop
275,5b342c9da2982a0001dd9f25,bobcat,1,simdrop
276,5b342c9da2982a0001dd9f25,elk,0,simdrop
277,5b342c9da2982a0001dd9f25,deer,0,simdrop
278,5b342c9da2982a0001dd9f25,horse,1,simdrop
279,5b342c9da2982a0001dd9f25,goat,0,simdrop
280,5b342c9da2982a0001dd9f25,chicken,0,simdrop
281,5b342c9da2982a0001dd9f25,mink,1,simdrop
282,5b342c9da2982a0001dd9f25,chinchilla,0,simdrop
283,5b342c9da2982a0001dd9f25,otter,1,simdrop
284,5b342c9da2982a0001dd9f25,whale,0,simdrop
285,5b342c9da2982a0001dd9f25,dolphin,2,simdrop
286,6081ca47eeed1bb51c1d7f7b,cat,2,simdrop
287,6081ca47eeed1bb51c1d7f7b,dog,0,simdrop
288,6081ca47eeed1bb51c1d7f7b,elephant,1,simdrop
289,6081ca47eeed1bb51c1d7f7b,tiger,0,simdrop
290,6081ca47eeed1bb51c1d7f7b,bird,1,simdrop
291,6081ca47eeed1bb51c1d7f7b,snake,0,simdrop
292,6081ca47eeed1bb51c1d7f7b,bear,0,simdrop
293,6081ca47eeed1bb51c1d7f7b,frog,1,simdrop
294,6081ca47eeed1bb51c1d7f7b,skunk,0,simdrop
295,6081ca47eeed1bb51c1d7f7b,raccoon,0,simdrop
296,6081ca47eeed1bb51c1d7f7b,opossum,0,simdrop
297,6081ca47eeed1bb51c1d7f7b,warthog,0,simdrop
298,6081ca47eeed1bb51c1d7f7b,kangaroo,0,simdrop
299,6081ca47eeed1bb51c1d7f7b,rhinoceros,1,simdrop
300,6081ca47eeed1bb51c1d7f7b,hippopotamus,0,simdrop
301,6081ca47eeed1bb51c1d7f7b,emu,2,simdrop
302,5be1ca6d91deed00015a986c,cat,2,simdrop
303,5be1ca6d91deed00015a986c,dog,0,simdrop
304,5be1ca6d91deed00015a986c,lion,0,simdrop
305,5be1ca6d91deed00015a986c,snake,0,simdrop
306,5be1ca6d91deed00015a986c,duck,0,simdrop
307,5be1ca6d91deed00015a986c,tiger,1,simdrop
308,5be1ca6d91deed00015a986c,whale,0,simdrop
309,5be1ca6d91deed00015a986c,snail,1,simdrop
310,5be1ca6d91deed00015a986c,worm,0,simdrop
311,5be1ca6d91deed00015a986c,butterfly,1,simdrop
312,5be1ca6d91deed00015a986c,bird,2,simdrop
