,Subject,Fluency_Item,NLL_forage_dynamic_simdrop,NLL_forage_random_baseline,Semantic_Similarity,Frequency_Value,Phonological_Similarity
0,606734f4935218ab9f94703c,dog,4.67302719074629,7.4770384723196965,0.0001,7.256114028,0.0001
1,606734f4935218ab9f94703c,cat,2.613117906720086,7.4770384723196965,0.76099,7.013143358,0.0001
2,606734f4935218ab9f94703c,zebra,6.787239662254074,7.4770384723196965,0.42946,5.561689192,0.0001
3,606734f4935218ab9f94703c,horse,4.508913080233566,7.4770384723196965,0.42613,7.396710537,0.2
4,606734f4935218ab9f94703c,goat,4.9204848846719225,7.4770384723196965,0.45963,6.365838461,0.0001
5,606734f4935218ab9f94703c,cow,3.4684144325395065,7.4770384723196965,0.63485,6.679047222,0.0001
6,606734f4935218ab9f94703c,mule,5.916641001843268,7.4770384723196965,0.39867,6.274039557,0.0001
7,606734f4935218ab9f94703c,donkey,3.7516939273757854,7.4770384723196965,0.56333,6.018421695,0.0001
8,606734f4935218ab9f94703c,cheetah,7.816825197484602,7.4770384723196965,0.369,5.023964037,0.0001
9,606734f4935218ab9f94703c,giraffe,5.21831796735771,7.4770384723196965,0.58533,5.372025949,0.0001
10,606734f4935218ab9f94703c,sheep,5.100097780387663,7.4770384723196965,0.35368,6.924172871,0.0001
11,606734f4935218ab9f94703c,elephant,5.795350395574678,7.4770384723196965,0.3499,6.363660295,0.0001
12,606734f4935218ab9f94703c,rhinoceros,4.893950969347529,7.4770384723196965,0.64381,5.506841784,0.0001
13,606734f4935218ab9f94703c,hippopotamus,5.625042122271751,7.4770384723196965,0.54239,5.258390618,0.2727
14,606734f4935218ab9f94703c,eagle,6.2152705583018815,7.4770384723196965,0.27429,6.640854253,0.0909
15,606734f4935218ab9f94703c,chicken,5.193593886717674,7.4770384723196965,0.20983,6.827585591,0.2
16,606734f4935218ab9f94703c,hawk,6.422457485331595,7.4770384723196965,0.28142,6.384581525,0.2
17,606734f4935218ab9f94703c,opossum,7.493296769887064,7.4770384723196965,0.2592,5.217673413,0.0001
18,606734f4935218ab9f94703c,skunk,5.755847922745463,7.4770384723196965,0.48403,5.613026358,0.0001
19,606734f4935218ab9f94703c,armadillo,7.295386601562638,7.4770384723196965,0.3873,5.091213085,0.0001
20,606734f4935218ab9f94703c,rat,5.270494946334429,7.4770384723196965,0.34554,6.766463413,0.125
21,606734f4935218ab9f94703c,monkey,4.359714906925171,7.4770384723196965,0.51822,6.401926546,0.0001
22,5ef11fdda0736031899eb5dc,cow,5.3039569538997915,7.4770384723196965,0.0001,6.679047222,0.0001
23,5ef11fdda0736031899eb5dc,cat,4.486334354734726,7.4770384723196965,0.40405,7.013143358,0.3333
24,5ef11fdda0736031899eb5dc,dog,2.2924529840882375,7.4770384723196965,0.76099,7.256114028,0.0001
25,5ef11fdda0736031899eb5dc,bird,4.694689359381898,7.4770384723196965,0.45021,7.119400245,0.0001
26,5ef11fdda0736031899eb5dc,otter,5.2428201834529125,7.4770384723196965,0.61764,5.857683409,0.0001
27,5ef11fdda0736031899eb5dc,alligator,6.792841683540067,7.4770384723196965,0.53213,5.714162885,0.2857
28,5ef11fdda0736031899eb5dc,crocodile,4.354118965069732,7.4770384723196965,0.71006,5.741384054,0.0001
29,5ef11fdda0736031899eb5dc,pig,5.400891911338657,7.4770384723196965,0.43346,6.611542969,0.0001
30,5ef11fdda0736031899eb5dc,buffalo,4.381280712924626,7.4770384723196965,0.49527,6.710471006,0.0001
31,5ef11fdda0736031899eb5dc,elk,4.74962472123758,7.4770384723196965,0.53039,6.139565841,0.1667
