"prolific_id"	"items"
"60bac4eb11e08e852fd030ab"	"dog"
"60bac4eb11e08e852fd030ab"	"cat"
"60bac4eb11e08e852fd030ab"	"bird"
"60bac4eb11e08e852fd030ab"	"lion"
"60bac4eb11e08e852fd030ab"	"tiger"
"60bac4eb11e08e852fd030ab"	"bear"
"60bac4eb11e08e852fd030ab"	"antelope"
"60bac4eb11e08e852fd030ab"	"chimpanzee"
"60bac4eb11e08e852fd030ab"	"orangutan"
"60bac4eb11e08e852fd030ab"	"gorilla"
"60bac4eb11e08e852fd030ab"	"anteater"
"60bac4eb11e08e852fd030ab"	"rabbit"
"60bac4eb11e08e852fd030ab"	"mouse"
"60bac4eb11e08e852fd030ab"	"rat"
"60bac4eb11e08e852fd030ab"	"skunk"
"60bac4eb11e08e852fd030ab"	"porcupine"
"60bac4eb11e08e852fd030ab"	"human"
"64480435f0fd571589cf1e31"	"dog"
"64480435f0fd571589cf1e31"	"cat"
"64480435f0fd571589cf1e31"	"bird"
"64480435f0fd571589cf1e31"	"rabbit"
"64480435f0fd571589cf1e31"	"hare"
"64480435f0fd571589cf1e31"	"pig"
"64480435f0fd571589cf1e31"	"elephant"
"64480435f0fd571589cf1e31"	"kangaroo"
"64480435f0fd571589cf1e31"	"cow"
"64480435f0fd571589cf1e31"	"horse"
"64480435f0fd571589cf1e31"	"fish"
"64480435f0fd571589cf1e31"	"sheep"
"64480435f0fd571589cf1e31"	"wolf"
"64480435f0fd571589cf1e31"	"frog"
"64480435f0fd571589cf1e31"	"lizard"
"64480435f0fd571589cf1e31"	"newt"
"64480435f0fd571589cf1e31"	"turtle"
"64480435f0fd571589cf1e31"	"tortoise"
"64480435f0fd571589cf1e31"	"bat"
"64480435f0fd571589cf1e31"	"squirrel"
"64480435f0fd571589cf1e31"	"mouse"
"64480435f0fd571589cf1e31"	"rat"
"64480435f0fd571589cf1e31"	"hamster"
"64480435f0fd571589cf1e31"	"gerbil"
"64480435f0fd571589cf1e31"	"tiger"
"64480435f0fd571589cf1e31"	"lion"
"64480435f0fd571589cf1e31"	"bear"
"64480435f0fd571589cf1e31"	"bull"
"638d3780e7aa2979f75f2a5f"	"dog"
"638d3780e7aa2979f75f2a5f"	"cat"
"638d3780e7aa2979f75f2a5f"	"bear"
"638d3780e7aa2979f75f2a5f"	"alligator"
"638d3780e7aa2979f75f2a5f"	"snake"
"638d3780e7aa2979f75f2a5f"	"bird"
"638d3780e7aa2979f75f2a5f"	"fish"
"638d3780e7aa2979f75f2a5f"	"giraffe"
"638d3780e7aa2979f75f2a5f"	"elephant"
"638d3780e7aa2979f75f2a5f"	"tiger"
"638d3780e7aa2979f75f2a5f"	"lion"
"5c6ae4c31b9d0e000190bacc"	"elephant"
"5c6ae4c31b9d0e000190bacc"	"dog"
"5c6ae4c31b9d0e000190bacc"	"cat"
"5c6ae4c31b9d0e000190bacc"	"mouse"
"5c6ae4c31b9d0e000190bacc"	"deer"
"5c6ae4c31b9d0e000190bacc"	"rhinoceros"
"5c6ae4c31b9d0e000190bacc"	"tiger"
"5c6ae4c31b9d0e000190bacc"	"zebra"
"5c6ae4c31b9d0e000190bacc"	"giraffe"
"5c6ae4c31b9d0e000190bacc"	"horse"
"5c6ae4c31b9d0e000190bacc"	"pig"
"5c6ae4c31b9d0e000190bacc"	"bobcat"
"57ac740478a38d00017cce22"	"bear"
"57ac740478a38d00017cce22"	"cat"
"57ac740478a38d00017cce22"	"dog"
