"prolific_id"	"items"
"60fe1580147adc7ebeb315e6"	"dog"
"60fe1580147adc7ebeb315e6"	"cat"
"60fe1580147adc7ebeb315e6"	"hamster"
"60fe1580147adc7ebeb315e6"	"rabbit"
"60fe1580147adc7ebeb315e6"	"horse"
"60fe1580147adc7ebeb315e6"	"pig"
"60fe1580147adc7ebeb315e6"	"cow"
"60fe1580147adc7ebeb315e6"	"sheep"
"60fe1580147adc7ebeb315e6"	"whale"
"60fe1580147adc7ebeb315e6"	"fish"
"60fe1580147adc7ebeb315e6"	"dolphin"
"60fe1580147adc7ebeb315e6"	"crab"
"60fe1580147adc7ebeb315e6"	"lobster"
"60fe1580147adc7ebeb315e6"	"duck"
"60fe1580147adc7ebeb315e6"	"goose"
"60fe1580147adc7ebeb315e6"	"moose"
"60fe1580147adc7ebeb315e6"	"elk"
"60fe1580147adc7ebeb315e6"	"deer"
"60fe1580147adc7ebeb315e6"	"fox"
"60fe1580147adc7ebeb315e6"	"marmot"
"60fe1580147adc7ebeb315e6"	"chinchilla"
"60fe1580147adc7ebeb315e6"	"lion"
"60fe1580147adc7ebeb315e6"	"tiger"
"60fe1580147adc7ebeb315e6"	"leopard"
"60fe1580147adc7ebeb315e6"	"cheetah"
"60fe1580147adc7ebeb315e6"	"zebra"
"60fe1580147adc7ebeb315e6"	"donkey"
"60fe1580147adc7ebeb315e6"	"mongoose"
"60fe1580147adc7ebeb315e6"	"ferret"
"60fe1580147adc7ebeb315e6"	"clam"
"60fe1580147adc7ebeb315e6"	"spider"
"60fe1580147adc7ebeb315e6"	"bee"
"60fe1580147adc7ebeb315e6"	"butterfly"
"60fe1580147adc7ebeb315e6"	"beetle"
"60fe1580147adc7ebeb315e6"	"snake"
"60fe1580147adc7ebeb315e6"	"python"
"60fe1580147adc7ebeb315e6"	"gecko"
"60fe1580147adc7ebeb315e6"	"chameleon"
"60fe1580147adc7ebeb315e6"	"hippopotamus"
"60fe1580147adc7ebeb315e6"	"rhinoceros"
"60fe1580147adc7ebeb315e6"	"giraffe"
"60fe1580147adc7ebeb315e6"	"monkey"
"60fe1580147adc7ebeb315e6"	"chimpanzee"
"6418bb561cef445487504b0b"	"bear"
"6418bb561cef445487504b0b"	"tiger"
"6418bb561cef445487504b0b"	"penguin"
"6418bb561cef445487504b0b"	"dog"
"6418bb561cef445487504b0b"	"wolf"
"6418bb561cef445487504b0b"	"cat"
"6418bb561cef445487504b0b"	"leopard"
"6418bb561cef445487504b0b"	"panther"
"6418bb561cef445487504b0b"	"snake"
"6418bb561cef445487504b0b"	"crocodile"
"6418bb561cef445487504b0b"	"hippopotamus"
"6418bb561cef445487504b0b"	"lemur"
"6418bb561cef445487504b0b"	"ferret"
"6418bb561cef445487504b0b"	"raccoon"
"6418bb561cef445487504b0b"	"turtle"
"6418bb561cef445487504b0b"	"squirrel"
"6418bb561cef445487504b0b"	"skunk"
"6418bb561cef445487504b0b"	"possum"
