prolific_id,condition,jatos_id,itemnum,items,times,firsttime,category,starttime,shortlist,rt,listnum,gender,ageText,age,perseveration,num_valid_responses,is_repeat,proportion_repeat
5484655ffdf99b07b28f22cc,Immediate,395,1,frog,1.68E+12,1.68E+12,Animals,1.68E+12,0,6.373,1,M,75,old,0,21,TRUE,
5484655ffdf99b07b28f22cc,Immediate,395,2,cow,1.68E+12,1.68E+12,Animals,1.68E+12,0,2.199,1,M,75,old,0,21,TRUE,
5484655ffdf99b07b28f22cc,Immediate,395,3,horse,1.68E+12,1.68E+12,Animals,1.68E+12,0,2.55,1,M,75,old,0,21,FALSE,
5484655ffdf99b07b28f22cc,Immediate,395,4,giraffe,1.68E+12,1.68E+12,Animals,1.68E+12,0,3.601,1,M,75,old,0,21,FALSE,
5484655ffdf99b07b28f22cc,Immediate,395,5,elephant,1.68E+12,1.68E+12,Animals,1.68E+12,0,3.001,1,M,75,old,0,21,TRUE,
5484655ffdf99b07b28f22cc,Immediate,395,6,lion,1.68E+12,1.68E+12,Animals,1.68E+12,0,1.579,1,M,75,old,0,21,FALSE,
5484655ffdf99b07b28f22cc,Immediate,395,7,tiger,1.68E+12,1.68E+12,Animals,1.68E+12,0,2,1,M,75,old,0,21,FALSE,
5484655ffdf99b07b28f22cc,Immediate,395,8,leopard,1.68E+12,1.68E+12,Animals,1.68E+12,0,5.06,1,M,75,old,0,21,FALSE,
5484655ffdf99b07b28f22cc,Immediate,395,9,dog,1.68E+12,1.68E+12,Animals,1.68E+12,0,3.26,1,M,75,old,0,21,FALSE,
5484655ffdf99b07b28f22cc,Immediate,395,10,cat,1.68E+12,1.68E+12,Animals,1.68E+12,0,2.46,1,M,75,old,0,21,TRUE,
5484655ffdf99b07b28f22cc,Immediate,395,11,robin,1.68E+12,1.68E+12,Animals,1.68E+12,0,2.18,1,M,75,old,0,21,FALSE,
5484655ffdf99b07b28f22cc,Immediate,395,12,sparrow,1.68E+12,1.68E+12,Animals,1.68E+12,0,2.74,1,M,75,old,0,21,FALSE,
5484655ffdf99b07b28f22cc,Immediate,395,13,mouse,1.68E+12,1.68E+12,Animals,1.68E+12,0,6.64,1,M,75,old,0,21,FALSE,
5484655ffdf99b07b28f22cc,Immediate,395,14,rat,1.68E+12,1.68E+12,Animals,1.68E+12,0,3.76,1,M,75,old,0,21,FALSE,
5484655ffdf99b07b28f22cc,Immediate,395,15,snake,1.68E+12,1.68E+12,Animals,1.68E+12,0,3.1,1,M,75,old,0,21,TRUE,
5484655ffdf99b07b28f22cc,Immediate,395,16,rattlesnake,1.68E+12,1.68E+12,Animals,1.68E+12,0,4.75,1,M,75,old,0,21,FALSE,
5484655ffdf99b07b28f22cc,Immediate,395,17,vulture,1.68E+12,1.68E+12,Animals,1.68E+12,0,17.46,1,M,75,old,0,21,FALSE,
5484655ffdf99b07b28f22cc,Immediate,395,18,egret,1.68E+12,1.68E+12,Animals,1.68E+12,0,3.05,1,M,75,old,0,21,FALSE,
5484655ffdf99b07b28f22cc,Immediate,395,19,heron,1.68E+12,1.68E+12,Animals,1.68E+12,0,3.68,1,M,75,old,0,21,FALSE,
5484655ffdf99b07b28f22cc,Immediate,395,20,duck,1.68E+12,1.68E+12,Animals,1.68E+12,0,2.84,1,M,75,old,0,21,TRUE,
5484655ffdf99b07b28f22cc,Immediate,395,21,goose,1.68E+12,1.68E+12,Animals,1.68E+12,0,1.89,1,M,75,old,0,21,TRUE,
5484655ffdf99b07b28f22cc,Immediate,395,1,elephant,1.68E+12,1.68E+12,Animals,1.68E+12,0,6.576,2,M,75,old,0,21,TRUE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,2,grouse,1.68E+12,1.68E+12,Animals,1.68E+12,0,2.06,2,M,75,old,0,21,FALSE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,3,duck,1.68E+12,1.68E+12,Animals,1.68E+12,0,1.97,2,M,75,old,0,21,TRUE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,4,platypus,1.68E+12,1.68E+12,Animals,1.68E+12,0,4.29,2,M,75,old,0,21,FALSE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,5,snake,1.68E+12,1.68E+12,Animals,1.68E+12,0,3.98,2,M,75,old,0,21,TRUE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,6,frog,1.68E+12,1.68E+12,Animals,1.68E+12,0,3,2,M,75,old,0,21,TRUE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,7,whale,1.68E+12,1.68E+12,Animals,1.68E+12,0,3.59,2,M,75,old,0,21,FALSE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,8,dolphin,1.68E+12,1.68E+12,Animals,1.68E+12,0,5.631,2,M,75,old,0,21,FALSE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,9,cow,1.68E+12,1.68E+12,Animals,1.68E+12,0,4.269,2,M,75,old,0,21,TRUE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,10,chicken,1.68E+12,1.68E+12,Animals,1.68E+12,0,1.94,2,M,75,old,0,21,FALSE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,11,goose,1.68E+12,1.68E+12,Animals,1.68E+12,0,3.1,2,M,75,old,0,21,TRUE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,13,guineafowl,1.68E+12,1.68E+12,Animals,1.68E+12,0,6.64,2,M,75,old,0,21,FALSE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,14,mule,1.68E+12,1.68E+12,Animals,1.68E+12,0,3.16,2,M,75,old,0,21,FALSE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,15,donkey,1.68E+12,1.68E+12,Animals,1.68E+12,0,2.76,2,M,75,old,0,21,FALSE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,16,deer,1.68E+12,1.68E+12,Animals,1.68E+12,0,4.29,2,M,75,old,0,21,FALSE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,17,raccoon,1.68E+12,1.68E+12,Animals,1.68E+12,0,2.441,2,M,75,old,0,21,FALSE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,18,squirrel,1.68E+12,1.68E+12,Animals,1.68E+12,0,2.07,2,M,75,old,0,21,FALSE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,19,chipmunk,1.68E+12,1.68E+12,Animals,1.68E+12,0,5.26,2,M,75,old,0,21,FALSE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,20,cat,1.68E+12,1.68E+12,Animals,1.68E+12,0,3.19,2,M,75,old,0,21,TRUE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,21,iguana,1.68E+12,1.68E+12,Animals,1.68E+12,0,6.72,2,M,75,old,0,21,FALSE,0.333333333
5484655ffdf99b07b28f22cc,Immediate,395,22,gopher,1.68E+12,,Animals,1.68E+12,0,5.66,2,M,75,old,0,21,FALSE,0.333333333
