correct,incorrect
aardvark,aadvark
aardvark,aadvarks
aardvark,aardvaark
aardvark,aarkvard
aardvark,advart
aardvark,ardvaark
aardvark,ardvark
aardvark,aadvark
aardvark,aadvarks
aardvark,aardvaark
aardvark,aarkvard
aardvark,advart
aardvark,ardvaark
aardvark,ardvark
afghanhound,afghans
afghanhound,afghans
airdaleterrier,airedaleterrier
airdaleterrier,airedaleterrier
airedaleterrier,airdale
airedaleterrier,airdales
airedaleterrier,airedale
airedaleterrier,airdale
airedaleterrier,airdales
airedaleterrier,airedale
albatross,albatros
albatross,albatrosse
albatross,albatros
albatross,albatrosse
alligator,alagartor
alligator,alagator
alligator,alagators
alligator,alegator
alligator,alegators
alligator,aligater
alligator,aligator
alligator,aligators
alligator,aligattor
alligator,allegator
alligator,allgator
alligator,alliagot
alligator,alliagtor
alligator,alliagtors
alligator,alligaotr
alligator,alligaror
alligator,alligatar
alligator,alligater
alligator,alligato
alligator,alligators
alligator,alliigator
alligator,gator
alligator,gators
alligator,zlligator
alligator,alagartor
alligator,alagator
alligator,alagators
alligator,alegator
alligator,alegators
alligator,aligater
alligator,aligator
alligator,aligators
alligator,aligattor
alligator,allegator
alligator,allgator
alligator,alliagot
alligator,alliagtor
alligator,alliagtors
alligator,alligaotr
alligator,alligaror
alligator,alligatar
alligator,alligater
alligator,alligato
alligator,alligators
alligator,alliigator
alligator,gator
alligator,gators
alligator,zlligator
alligator,alligaor
alligator,alligaor
alligator,alligatorgar
alpaca,alpacas
alpaca,alpacca
alpaca,alpacha
alpaca,alpacka
alpaca,alpackas
alpaca,alpakas
alpaca,aplaca
alpaca,elpaca
alpaca,elpaka
alpaca,alpacas
alpaca,alpacca
alpaca,alpacha
alpaca,alpacka
alpaca,alpackas
alpaca,alpakas
alpaca,aplaca
alpaca,elpaca
alpaca,elpaka
alpaca,alpace
anaconda,anacanda
anaconda,anacondas
anaconda,anoconda
anaconda,anacanda
anaconda,anacondas
anaconda,anoconda
anchovy,anchovie
anchovy,anchovie
anemone,anenomie
anemone,seaanemene
anemone,seaanemones
anemone,seaanenome
anemone,seanemone
anemone,anenomie
anemone,seaanemene
anemone,seaanemones
anemone,seaanenome
anemone,seanemone
angelfish,angelfishes
angelfish,anglefish
angelfish,angelfishes
